param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_1_anc_1-1,0.634328,0.634818,0.566146,0.699619
Q_ind_2_anc_1-1,0.725287,0.725325,0.655793,0.792729
Q_ind_3_anc_1-1,0.854582,0.854941,0.784183,0.921807
Q_ind_4_anc_1-1,0.781513,0.780930,0.721373,0.845682
Q_ind_5_anc_1-1,0.432761,0.432445,0.365297,0.500179
Q_ind_6_anc_1-1,0.796378,0.796632,0.733394,0.859580
Q_ind_7_anc_1-1,0.794754,0.794677,0.728532,0.857056
Q_ind_8_anc_1-1,0.763752,0.763772,0.702217,0.825398
Q_ind_9_anc_1-1,0.847881,0.847362,0.768893,0.927763
Q_ind_10_anc_1-1,0.844141,0.844958,0.783030,0.902961
Q_ind_11_anc_1-1,0.757404,0.757683,0.694468,0.819561
Q_ind_12_anc_1-1,0.761367,0.761803,0.696496,0.823823
Q_ind_13_anc_1-1,0.001826,0.000345,0.000000,0.012471
Q_ind_14_anc_1-1,0.004506,0.001349,0.000000,0.025405
Q_ind_15_anc_1-1,0.004257,0.001000,0.000000,0.025353
Q_ind_16_anc_1-1,0.005390,0.001392,0.000000,0.033219
Q_ind_17_anc_1-1,0.001717,0.000313,0.000000,0.011516
Q_ind_18_anc_1-1,0.003617,0.000735,0.000000,0.023522
Q_ind_19_anc_1-1,0.002435,0.000519,0.000000,0.015210
Q_ind_20_anc_1-1,0.000846,0.000165,0.000000,0.005745
Q_ind_21_anc_1-1,0.181106,0.180154,0.084740,0.280925
Q_ind_22_anc_1-1,0.293772,0.293306,0.221807,0.367854
Q_ind_23_anc_1-1,0.297594,0.296667,0.209376,0.388573
Q_ind_24_anc_1-1,0.153159,0.151096,0.080082,0.237647
Q_ind_25_anc_1-1,0.244525,0.244441,0.161719,0.325088
Q_ind_26_anc_1-1,0.310424,0.311385,0.231184,0.384877
Q_ind_27_anc_1-1,0.232436,0.231460,0.151323,0.319176
Q_ind_28_anc_1-1,0.263715,0.262429,0.177776,0.352394
Q_ind_29_anc_1-1,0.266152,0.265160,0.175287,0.356624
Q_ind_30_anc_1-1,0.257979,0.256776,0.182566,0.333667
Q_ind_31_anc_1-1,0.395489,0.396154,0.325810,0.463783
Q_ind_32_anc_1-1,0.413792,0.413215,0.311800,0.521783
Q_ind_33_anc_1-1,0.415892,0.415831,0.336974,0.491823
Q_ind_34_anc_1-1,0.447838,0.448247,0.361182,0.533226
Q_ind_35_anc_1-1,0.415000,0.414391,0.346646,0.485386
Q_ind_36_anc_1-1,0.433908,0.432586,0.360689,0.511994
Q_ind_37_anc_1-1,0.362741,0.361948,0.290922,0.435724
Q_ind_38_anc_1-1,0.399444,0.399773,0.325514,0.472961
Q_ind_39_anc_1-1,0.003293,0.000697,0.000000,0.022438
Q_ind_40_anc_1-1,0.409464,0.410383,0.311214,0.505647
Q_ind_41_anc_1-1,0.355936,0.356310,0.271044,0.438112
Q_ind_42_anc_1-1,0.048350,0.048233,0.019484,0.078316
Q_ind_43_anc_1-1,0.038724,0.039288,0.000032,0.087668
Q_ind_44_anc_1-1,0.040258,0.042299,0.000030,0.080604
Q_ind_45_anc_1-1,0.057090,0.059920,0.000875,0.101377
Q_ind_46_anc_1-1,0.025651,0.026141,0.000001,0.062450
Q_ind_47_anc_1-1,0.032541,0.032143,0.000001,0.082483
Q_ind_48_anc_1-1,0.025409,0.020032,0.000000,0.077430
Q_ind_49_anc_1-1,0.048236,0.048029,0.019881,0.077773
Q_ind_50_anc_1-1,0.024981,0.025276,0.000002,0.058585
Q_ind_51_anc_1-1,0.002425,0.000642,0.000000,0.014579
Q_ind_52_anc_1-1,0.001314,0.000271,0.000000,0.008342
Q_ind_53_anc_1-1,0.001494,0.000309,0.000000,0.010139
Q_ind_54_anc_1-1,0.001517,0.000301,0.000000,0.009904
Q_ind_55_anc_1-1,0.001360,0.000290,0.000000,0.008736
Q_ind_56_anc_1-1,0.002567,0.000617,0.000000,0.016223
Q_ind_57_anc_1-1,0.001329,0.000252,0.000000,0.009274
Q_ind_58_anc_1-1,0.001819,0.000332,0.000000,0.012935
Q_ind_59_anc_1-1,0.002995,0.000589,0.000000,0.019903
Q_ind_60_anc_1-1,0.001359,0.000266,0.000000,0.009294
Q_ind_61_anc_1-1,0.002517,0.000553,0.000000,0.016152
Q_ind_62_anc_1-1,0.006616,0.001729,0.000000,0.037989
Q_ind_63_anc_1-1,0.996194,0.998008,0.983171,0.999994
Q_ind_64_anc_1-1,0.995950,0.997843,0.982050,0.999995
Q_ind_65_anc_1-1,0.992293,0.993986,0.974574,0.999975
Q_ind_66_anc_1-1,0.993672,0.995753,0.975941,0.999986
Q_ind_67_anc_1-1,0.996916,0.998347,0.986214,0.999996
Q_ind_68_anc_1-1,0.024287,0.019893,0.000001,0.076235
Q_ind_69_anc_1-1,0.003125,0.000575,0.000000,0.020591
Q_ind_70_anc_1-1,0.001373,0.000258,0.000000,0.009189
Q_ind_71_anc_1-1,0.080137,0.080841,0.017528,0.138555
Q_ind_72_anc_1-1,0.095599,0.095775,0.028636,0.160692
Q_ind_73_anc_1-1,0.078660,0.078373,0.023660,0.137229
Q_ind_74_anc_1-1,0.001948,0.000409,0.000000,0.013270
Q_ind_75_anc_1-1,0.001791,0.000370,0.000000,0.011959
Q_ind_76_anc_1-1,0.115180,0.111584,0.056866,0.187822
Q_ind_77_anc_1-1,0.407761,0.407941,0.333297,0.484506
Q_ind_78_anc_1-1,0.469930,0.469160,0.393177,0.554625
Q_ind_79_anc_1-1,0.351268,0.349996,0.280491,0.429683
Q_ind_80_anc_1-1,0.424254,0.424415,0.346964,0.497793
Q_ind_81_anc_1-1,0.426275,0.425728,0.353229,0.502439
Q_ind_82_anc_1-1,0.524305,0.524981,0.431123,0.609029
Q_ind_83_anc_1-1,0.466263,0.466274,0.386310,0.544907
Q_ind_84_anc_1-1,0.451884,0.451679,0.373058,0.532911
Q_ind_85_anc_1-1,0.453170,0.453620,0.377706,0.528019
Q_ind_86_anc_1-1,0.392915,0.392696,0.324101,0.463547
Q_ind_87_anc_1-1,0.442731,0.442406,0.365440,0.521151
Q_ind_88_anc_1-1,0.625514,0.632355,0.520075,0.699032
Q_ind_89_anc_1-1,0.533293,0.533152,0.452786,0.614982
Q_ind_90_anc_1-1,0.439682,0.439619,0.350217,0.529928
Q_ind_91_anc_1-1,0.500806,0.501430,0.421565,0.577552
Q_ind_92_anc_1-1,0.436212,0.435813,0.351939,0.527356
Q_ind_93_anc_1-1,0.511181,0.510866,0.417530,0.617165
Q_ind_94_anc_1-1,0.138941,0.139639,0.052781,0.215270
Q_ind_95_anc_1-1,0.529379,0.529864,0.439005,0.619291
Q_ind_96_anc_1-1,0.004544,0.001460,0.000000,0.023502
Q_ind_97_anc_1-1,0.011874,0.008948,0.000000,0.038324
Q_ind_98_anc_1-1,0.000685,0.000132,0.000000,0.004450
Q_ind_99_anc_1-1,0.000876,0.000179,0.000000,0.005756
Q_ind_100_anc_1-1,0.003525,0.001028,0.000000,0.018877
Q_ind_101_anc_1-1,0.001753,0.000415,0.000000,0.011206
Q_ind_102_anc_1-1,0.001452,0.000325,0.000000,0.009111
Q_ind_103_anc_1-1,0.007353,0.003565,0.000000,0.030945
Q_ind_104_anc_1-1,0.002129,0.000480,0.000000,0.013127
Q_ind_105_anc_1-1,0.000666,0.000142,0.000000,0.004449
Q_ind_106_anc_1-1,0.026020,0.026235,0.000021,0.057702
Q_ind_107_anc_1-1,0.179216,0.176869,0.092914,0.276097
Q_ind_108_anc_1-1,0.188440,0.189016,0.094727,0.282190
Q_ind_109_anc_1-1,0.297439,0.298080,0.185750,0.409380
Q_ind_110_anc_1-1,0.227032,0.226228,0.150302,0.308016
Q_ind_111_anc_1-1,0.263171,0.261518,0.177872,0.355446
Q_ind_112_anc_1-1,0.006839,0.001696,0.000000,0.038837
Q_ind_113_anc_1-1,0.370687,0.371946,0.253639,0.477292
Q_ind_114_anc_1-1,0.350682,0.347593,0.232812,0.476991
Q_ind_115_anc_1-1,0.023524,0.022785,0.000022,0.054691
Q_ind_116_anc_1-1,0.004604,0.001500,0.000000,0.024360
Q_ind_117_anc_1-1,0.005183,0.001546,0.000000,0.027077
Q_ind_118_anc_1-1,0.004664,0.001455,0.000000,0.024802
Q_ind_119_anc_1-1,0.005925,0.001842,0.000000,0.031233
Q_ind_120_anc_1-1,0.002476,0.000561,0.000000,0.015460
Q_ind_121_anc_1-1,0.023329,0.023371,0.000003,0.057261
Q_ind_122_anc_1-1,0.005654,0.003017,0.000000,0.023662
Q_ind_123_anc_1-1,0.004426,0.001429,0.000000,0.023964
Q_ind_124_anc_1-1,0.001792,0.000358,0.000000,0.011560
Q_ind_125_anc_1-1,0.388702,0.387847,0.312905,0.466519
Q_ind_126_anc_1-1,0.388512,0.389256,0.298801,0.473463
Q_ind_127_anc_1-1,0.347973,0.347407,0.266555,0.432595
Q_ind_128_anc_1-1,0.340801,0.340162,0.256909,0.428548
Q_ind_129_anc_1-1,0.382963,0.381849,0.296236,0.477309
Q_ind_130_anc_1-1,0.441576,0.441579,0.347302,0.532684
Q_ind_131_anc_1-1,0.143600,0.143635,0.072284,0.216642
Q_ind_132_anc_1-1,0.023722,0.014318,0.000001,0.087976
Q_ind_133_anc_1-1,0.233653,0.233161,0.152624,0.317812
Q_ind_134_anc_1-1,0.193868,0.193022,0.117702,0.275618
Q_ind_135_anc_1-1,0.331308,0.331784,0.251484,0.410378
Q_ind_136_anc_1-1,0.232265,0.232374,0.159113,0.305354
Q_ind_137_anc_1-1,0.103187,0.101895,0.025725,0.183619
Q_ind_138_anc_1-1,0.022552,0.014734,0.000000,0.077408
