param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_86_pop_0,0.001357,0.000072,0.000000,0.010977
q_ind_87_pop_0,0.015314,0.005856,0.000000,0.066506
q_ind_88_pop_0,0.005821,0.000986,0.000000,0.033491
q_ind_89_pop_0,0.021866,0.009056,0.000000,0.098519
q_ind_90_pop_0,0.044933,0.045247,0.000158,0.093887
q_ind_91_pop_0,0.037346,0.037076,0.000000,0.084618
q_ind_92_pop_0,0.035781,0.035108,0.000000,0.086739
q_ind_93_pop_0,0.126084,0.125495,0.084715,0.169493
q_ind_94_pop_0,0.013171,0.003738,0.000000,0.061136
q_ind_95_pop_0,0.006435,0.002795,0.000000,0.030554
q_ind_96_pop_0,0.004218,0.001379,0.000000,0.019932
q_ind_97_pop_0,0.005863,0.000878,0.000000,0.032383
q_ind_98_pop_0,0.002394,0.000205,0.000000,0.017162
q_ind_99_pop_0,0.001016,0.000068,0.000000,0.007743
q_ind_100_pop_0,0.000523,0.000024,0.000000,0.004495
q_ind_101_pop_0,0.000422,0.000022,0.000000,0.003674
q_ind_102_pop_0,0.001326,0.000080,0.000000,0.011137
q_ind_103_pop_0,0.000447,0.000024,0.000000,0.003624
q_ind_104_pop_0,0.035413,0.034756,0.000080,0.073873
q_ind_105_pop_0,0.033608,0.034478,0.000002,0.066552
q_ind_106_pop_0,0.339773,0.338204,0.292297,0.397130
q_ind_107_pop_0,0.306509,0.306127,0.254822,0.359748
q_ind_108_pop_0,0.347959,0.344147,0.282668,0.432113
q_ind_109_pop_0,0.329791,0.330736,0.272353,0.385192
q_ind_110_pop_0,0.356097,0.355722,0.301999,0.410794
q_ind_111_pop_0,0.229477,0.227947,0.173601,0.297014
q_ind_112_pop_0,0.285231,0.285393,0.222092,0.348755
q_ind_113_pop_0,0.316187,0.315613,0.248601,0.386011
q_ind_114_pop_0,0.082692,0.082437,0.046382,0.121105
q_ind_115_pop_0,0.011462,0.003985,0.000000,0.051534
q_ind_116_pop_0,0.009755,0.006427,0.000000,0.038864
q_ind_117_pop_0,0.066684,0.066485,0.034841,0.102005
q_ind_118_pop_0,0.007188,0.002206,0.000000,0.035789
q_ind_119_pop_0,0.003338,0.000232,0.000000,0.023361
q_ind_120_pop_0,0.009871,0.007194,0.000000,0.035087
q_ind_121_pop_0,0.002166,0.000289,0.000000,0.013597
q_ind_122_pop_0,0.003541,0.000427,0.000000,0.024375
q_ind_123_pop_0,0.070746,0.072627,0.000020,0.129796
q_ind_124_pop_0,0.002601,0.000185,0.000000,0.019485
q_ind_125_pop_0,0.006599,0.001375,0.000000,0.035868
q_ind_126_pop_0,0.001473,0.000091,0.000000,0.012141
q_ind_127_pop_0,0.002656,0.000234,0.000000,0.020087
q_ind_128_pop_0,0.001329,0.000081,0.000000,0.011086
q_ind_129_pop_0,0.002361,0.000222,0.000000,0.016486
q_ind_130_pop_0,0.003050,0.000196,0.000000,0.025491
q_ind_131_pop_0,0.007353,0.001606,0.000000,0.037361
q_ind_132_pop_0,0.015970,0.004284,0.000000,0.076773
q_ind_133_pop_0,0.040318,0.039005,0.000996,0.082453
