param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.391345,0.397653,0.332698,0.429447
q_ind_1_pop_0,0.380282,0.384031,0.325084,0.419853
q_ind_2_pop_0,0.364181,0.367792,0.310039,0.403522
q_ind_3_pop_0,0.375367,0.375859,0.327354,0.418939
q_ind_4_pop_0,0.400073,0.405400,0.311657,0.439077
q_ind_5_pop_0,0.385011,0.387411,0.336152,0.426465
q_ind_6_pop_0,0.382558,0.385454,0.330959,0.420445
q_ind_7_pop_0,0.379240,0.381868,0.332451,0.409981
q_ind_8_pop_0,0.347134,0.356486,0.271388,0.397984
q_ind_9_pop_0,0.398486,0.404649,0.330252,0.441698
q_ind_10_pop_0,0.377421,0.379408,0.323902,0.430013
q_ind_11_pop_0,0.376303,0.377830,0.321048,0.422982
q_ind_12_pop_0,0.165203,0.172780,0.034802,0.248176
q_ind_13_pop_0,0.132695,0.141968,0.000709,0.215160
q_ind_14_pop_0,0.168908,0.192994,0.002343,0.250977
q_ind_15_pop_0,0.181442,0.193545,0.002593,0.272634
q_ind_16_pop_0,0.149811,0.166010,0.000466,0.228108
q_ind_17_pop_0,0.172331,0.188815,0.028544,0.242174
q_ind_18_pop_0,0.170907,0.179964,0.000791,0.255009
q_ind_19_pop_0,0.180743,0.186118,0.068818,0.237829
q_ind_20_pop_0,0.409426,0.416699,0.305811,0.455567
q_ind_21_pop_0,0.378164,0.383414,0.287375,0.414608
q_ind_22_pop_0,0.397910,0.402451,0.314720,0.431352
q_ind_23_pop_0,0.409569,0.418823,0.289000,0.452399
q_ind_24_pop_0,0.392365,0.421780,0.158070,0.448646
q_ind_25_pop_0,0.371078,0.376401,0.290233,0.409138
q_ind_26_pop_0,0.406963,0.413423,0.321448,0.441255
q_ind_27_pop_0,0.405399,0.411216,0.319290,0.439817
q_ind_28_pop_0,0.382533,0.390952,0.294907,0.423472
q_ind_29_pop_0,0.401239,0.406521,0.319704,0.439494
q_ind_30_pop_0,0.350281,0.442005,0.000675,0.468426
q_ind_31_pop_0,0.362961,0.444055,0.064439,0.498885
q_ind_32_pop_0,0.353456,0.432559,0.080212,0.458100
q_ind_33_pop_0,0.330058,0.430009,0.033283,0.457900
q_ind_34_pop_0,0.332788,0.424565,0.072334,0.451809
q_ind_35_pop_0,0.335428,0.444533,0.000003,0.466424
q_ind_36_pop_0,0.343762,0.416456,0.071747,0.447522
q_ind_37_pop_0,0.353112,0.454995,0.000061,0.476635
q_ind_38_pop_0,0.281039,0.345154,0.070441,0.388264
q_ind_39_pop_0,0.309804,0.379438,0.001459,0.436585
q_ind_40_pop_0,0.344551,0.391722,0.112379,0.428400
q_ind_41_pop_0,0.001761,0.000159,0.000000,0.013336
q_ind_42_pop_0,0.007306,0.001060,0.000000,0.048207
q_ind_43_pop_0,0.007056,0.000488,0.000000,0.053983
q_ind_44_pop_0,0.008909,0.001688,0.000000,0.054773
q_ind_45_pop_0,0.004363,0.000394,0.000000,0.035787
q_ind_46_pop_0,0.009750,0.001618,0.000000,0.062533
q_ind_47_pop_0,0.002407,0.000222,0.000000,0.015936
q_ind_48_pop_0,0.010046,0.001048,0.000000,0.062019
q_ind_49_pop_0,0.002659,0.000248,0.000000,0.018582
q_ind_50_pop_0,0.042018,0.045558,0.000000,0.079719
q_ind_51_pop_0,0.032242,0.036431,0.000000,0.063289
q_ind_52_pop_0,0.023124,0.010534,0.000000,0.073772
q_ind_53_pop_0,0.049137,0.052496,0.000007,0.088337
q_ind_54_pop_0,0.052218,0.059648,0.000000,0.095094
q_ind_55_pop_0,0.008036,0.001601,0.000000,0.040647
q_ind_56_pop_0,0.111697,0.117007,0.001437,0.156468
q_ind_57_pop_0,0.025066,0.023127,0.000000,0.066861
q_ind_58_pop_0,0.062960,0.068195,0.000011,0.108361
q_ind_59_pop_0,0.039519,0.042762,0.000002,0.076267
q_ind_60_pop_0,0.025980,0.018048,0.000000,0.080023
q_ind_61_pop_0,0.058086,0.062361,0.000001,0.106580
q_ind_62_pop_0,0.001011,0.000074,0.000000,0.008277
q_ind_63_pop_0,0.002219,0.000176,0.000000,0.016365
q_ind_64_pop_0,0.005114,0.000546,0.000000,0.037528
q_ind_65_pop_0,0.005446,0.000190,0.000000,0.047757
q_ind_66_pop_0,0.019965,0.006164,0.000000,0.072363
q_ind_67_pop_0,0.067787,0.078805,0.000000,0.137479
q_ind_68_pop_0,0.119009,0.122973,0.030960,0.202139
q_ind_69_pop_0,0.047579,0.052076,0.000000,0.116865
q_ind_70_pop_0,0.084316,0.102842,0.000009,0.139696
q_ind_71_pop_0,0.081000,0.106823,0.000000,0.150761
q_ind_72_pop_0,0.074356,0.081367,0.000940,0.140612
q_ind_73_pop_0,0.115236,0.138278,0.000006,0.187699
q_ind_74_pop_0,0.076817,0.090949,0.000000,0.154631
q_ind_75_pop_0,0.076643,0.099264,0.000000,0.142490
q_ind_76_pop_0,0.418835,0.420351,0.378568,0.450753
q_ind_77_pop_0,0.428031,0.429238,0.379255,0.465667
q_ind_78_pop_0,0.431721,0.434574,0.370157,0.476025
q_ind_79_pop_0,0.437776,0.438754,0.399654,0.470135
q_ind_80_pop_0,0.397597,0.398929,0.350520,0.433872
q_ind_81_pop_0,0.412901,0.415312,0.361881,0.450487
q_ind_82_pop_0,0.420186,0.420625,0.374694,0.464074
q_ind_83_pop_0,0.442009,0.444806,0.383200,0.473886
q_ind_84_pop_0,0.414713,0.416112,0.379626,0.443569
q_ind_85_pop_0,0.428731,0.430426,0.390387,0.465153
q_ind_86_pop_0,0.410332,0.411146,0.374638,0.443221
q_ind_87_pop_0,0.207299,0.242709,0.015681,0.338103
q_ind_88_pop_0,0.172194,0.168397,0.044967,0.306972
q_ind_89_pop_0,0.186014,0.213080,0.000001,0.329135
q_ind_90_pop_0,0.191601,0.208514,0.003636,0.333157
q_ind_91_pop_0,0.164351,0.136732,0.000010,0.308312
q_ind_92_pop_0,0.159799,0.136308,0.003589,0.293921
q_ind_93_pop_0,0.176119,0.179137,0.079566,0.281540
q_ind_94_pop_0,0.178023,0.182059,0.002001,0.347703
q_ind_95_pop_0,0.001028,0.000119,0.000000,0.007114
q_ind_96_pop_0,0.002535,0.000228,0.000000,0.018624
q_ind_97_pop_0,0.134309,0.141543,0.000069,0.183213
q_ind_98_pop_0,0.123092,0.128329,0.045331,0.167505
q_ind_99_pop_0,0.001133,0.000095,0.000000,0.008870
q_ind_100_pop_0,0.001224,0.000072,0.000000,0.011225
q_ind_101_pop_0,0.000495,0.000038,0.000000,0.003966
q_ind_102_pop_0,0.001981,0.000245,0.000000,0.013384
q_ind_103_pop_0,0.000790,0.000068,0.000000,0.006029
q_ind_104_pop_0,0.079569,0.087773,0.000001,0.125827
q_ind_105_pop_0,0.005322,0.001145,0.000000,0.028328
q_ind_106_pop_0,0.248346,0.277189,0.116763,0.327873
q_ind_107_pop_0,0.274918,0.300779,0.150970,0.362188
q_ind_108_pop_0,0.255584,0.272586,0.100864,0.340071
q_ind_109_pop_0,0.220090,0.227428,0.125311,0.303093
q_ind_110_pop_0,0.259905,0.278634,0.141256,0.327405
q_ind_111_pop_0,0.229017,0.256054,0.077734,0.315144
q_ind_112_pop_0,0.266059,0.287599,0.103547,0.361106
q_ind_113_pop_0,0.280887,0.299736,0.124578,0.390999
q_ind_114_pop_0,0.005737,0.000472,0.000000,0.039188
q_ind_115_pop_0,0.001681,0.000143,0.000000,0.012649
q_ind_116_pop_0,0.002048,0.000175,0.000000,0.015013
q_ind_117_pop_0,0.011822,0.007749,0.000000,0.040688
q_ind_118_pop_0,0.005546,0.001115,0.000000,0.029462
q_ind_119_pop_0,0.000800,0.000057,0.000000,0.006458
q_ind_120_pop_0,0.010395,0.008690,0.000000,0.032606
q_ind_121_pop_0,0.000788,0.000071,0.000000,0.006094
q_ind_122_pop_0,0.004118,0.000730,0.000000,0.025567
q_ind_123_pop_0,0.043054,0.039173,0.000001,0.104502
q_ind_124_pop_0,0.400150,0.406602,0.317262,0.436406
q_ind_125_pop_0,0.404088,0.415348,0.290196,0.466480
q_ind_126_pop_0,0.400999,0.406661,0.312665,0.435039
q_ind_127_pop_0,0.365395,0.395627,0.210268,0.430177
q_ind_128_pop_0,0.414519,0.418095,0.311842,0.477163
q_ind_129_pop_0,0.391135,0.395269,0.317067,0.449427
q_ind_130_pop_0,0.351677,0.357680,0.277773,0.386380
q_ind_131_pop_0,0.337908,0.345726,0.244539,0.389590
q_ind_132_pop_0,0.354204,0.371243,0.103812,0.408678
q_ind_133_pop_0,0.395985,0.403813,0.280968,0.433379
q_ind_134_pop_0,0.382834,0.388366,0.262574,0.442933
q_ind_135_pop_0,0.383888,0.394168,0.258733,0.446479
q_ind_136_pop_0,0.413278,0.419550,0.311147,0.462969
q_ind_137_pop_0,0.410516,0.424875,0.265629,0.451659
q_ind_138_pop_0,0.382355,0.392190,0.272468,0.418770
q_ind_139_pop_0,0.370797,0.384375,0.161104,0.419714
q_ind_140_pop_0,0.401614,0.402143,0.299525,0.466465
q_ind_141_pop_0,0.302791,0.330325,0.049754,0.366187
