"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4"
"PH_SH_3.sorted.bam","3","SH",0.014159,2e-06,0.057223,0.578422,0.531864,0.63083,0.117867,0.08809,0.150494,0.289552,0.235638,0.329341,0.000796,0,0.008207,0.019151,0,0.107832,0.39409,0.309001,0.483894,0.003564,0,0.032732,0.002725,0,0.030432,0.001051,0,0.010904,0.004011,0,0.041926,0.346789,0.200475,0.461377,0.227344,0.162708,0.293008,0.00048,0,0.004801
"PH_SH_5.sorted.bam","5","SH",0.004195,0,0.023016,0.586202,0.530733,0.653282,0.128484,0.096773,0.160113,0.281118,0.215352,0.32808,0.001895,0,0.019152,0.001491,0,0.015725,0.568715,0.488486,0.639978,0.001306,0,0.014002,0.001917,0,0.01994,0.001912,0,0.019626,0.001803,0,0.017619,0.031567,0,0.216456,0.24992,0.179772,0.315508,0.139473,1e-06,0.210059
"PH_SH_6.sorted.bam","6","SH",0.010235,0,0.055796,0.463769,0.414818,0.514938,0.202473,0.160336,0.242865,0.323523,0.266774,0.368645,0.000887,0,0.00806,0.014539,0,0.103071,0.204458,0.055246,0.359174,0.002063,0,0.02082,0.131151,0,0.298879,0.000433,0,0.004546,0.002093,0,0.020993,0.372933,0.191883,0.520612,0.270865,0.124953,0.404252,0.000578,0,0.006127
"PH_SH_7.sorted.bam","7","SH",0.006929,0,0.043047,0.55916,0.506791,0.618909,0.143923,0.107552,0.182152,0.289988,0.197074,0.338643,0.002177,0,0.021815,0.002864,0,0.024591,0.420989,0.320621,0.595315,0.000885,0,0.009467,0.001748,0,0.019134,0.000825,0,0.008882,0.005756,0,0.050582,0.271731,0,0.421043,0.283564,0.210386,0.36009,0.009462,0,0.099002
"PH_SL_10.sorted.bam","10","SL",0.008464,0,0.036844,0.001971,0,0.0122,0.750514,0.719358,0.782486,0.239051,0.205948,0.269273,0.000341,0,0.003726,0.000764,0,0.007711,0.00037,0,0.003634,0.015149,0,0.072641,0.001992,0,0.020774,0.503477,0.440906,0.567118,0.000334,0,0.003385,0.000446,0,0.004594,0.476934,0.410594,0.537329,0.000193,0,0.001993
"PH_SL_11.sorted.bam","11","SL",0.002701,0,0.013775,0.004892,0,0.023271,0.759992,0.732514,0.787585,0.232415,0.20309,0.259726,0.000685,0,0.006882,0.001354,0,0.012795,0.002224,0,0.01935,0.001677,0,0.01458,0.002808,0,0.031428,0.526763,0.475636,0.579679,0.001,0,0.010266,0.001173,0,0.011363,0.461972,0.401734,0.516658,0.000343,0,0.003404
"PH_SL_12.sorted.bam","12","SL",0.001015,0,0.006,0.001588,0,0.009911,0.862725,0.834517,0.894086,0.134672,0.102434,0.162274,0.000408,0,0.004188,0.000329,0,0.003662,0.000557,0,0.00616,0.000437,0,0.004748,0.001022,0,0.01085,0.728487,0.673483,0.792938,0.000448,0,0.004476,0.00071,0,0.007376,0.267018,0.20112,0.323044,0.000583,0,0.005746
"PH_SL_1.sorted.bam","1","SL",0.001118,0,0.006585,0.002985,0,0.016398,0.777537,0.749751,0.806235,0.21836,0.189185,0.245906,0.000408,0,0.004055,0.000456,0,0.004634,0.001424,0,0.012039,0.000567,0,0.005652,0.002061,0,0.020394,0.558715,0.502681,0.614865,0.000397,0,0.004171,0.000604,0,0.005954,0.435016,0.376647,0.490258,0.000351,0,0.003794
"PH_SL_3.sorted.bam","3","SL",0.002859,0,0.014812,0.004234,0,0.021909,0.853184,0.821697,0.886358,0.139723,0.105783,0.171364,0.001221,0,0.011692,0.000854,0,0.008102,0.001757,0,0.016904,0.00109,0,0.011335,0.001035,0,0.010511,0.717333,0.656535,0.782904,0.001332,0,0.013036,0.003065,0,0.027204,0.269577,0.190098,0.336528,0.002736,0,0.025097
"PH_SL_4.sorted.bam","4","SL",0.00088,0,0.005141,0.001405,0,0.008267,0.862791,0.835005,0.89352,0.134924,0.104853,0.162689,0.000293,0,0.003065,0.000304,0,0.003354,0.000532,0,0.005376,0.000516,0,0.005601,0.000648,0,0.006287,0.729308,0.674564,0.788396,0.000354,0,0.00363,0.000796,0,0.007825,0.265803,0.206556,0.322481,0.001448,0,0.01374
"PH_SL_6.sorted.bam","6","SL",0.00115,0,0.006755,0.001672,0,0.009997,0.761028,0.73265,0.790697,0.23615,0.205556,0.264111,0.000378,0,0.004002,0.000419,0,0.004298,0.000449,0,0.004614,0.000746,0,0.007362,0.001573,0,0.015719,0.524483,0.468597,0.582618,0.000379,0,0.004024,0.000455,0,0.004952,0.47077,0.409752,0.526136,0.000348,0,0.003562
"PH_SL_8.sorted.bam","8","SL",0.065189,0.037929,0.094407,0.317216,0.286666,0.347333,0.430541,0.398977,0.456383,0.187054,0.155457,0.222456,0.000174,0,0.001814,0.12793,0.072123,0.184666,0.000415,0,0.004237,0.001527,0,0.017228,0.495825,0.415757,0.569597,0.000166,0,0.001716,0.000572,0,0.005611,0.009845,0,0.071893,0.363397,0.301468,0.425079,0.000147,0,0.001525
"PH_SL_9.sorted.bam","9","SL",0.000943,0,0.005928,0.001439,0,0.008431,0.772032,0.743053,0.801029,0.225586,0.196447,0.254773,0.000381,0,0.003887,0.000358,0,0.003478,0.000487,0,0.004662,0.000479,0,0.004792,0.001005,0,0.009993,0.546409,0.488937,0.603589,0.000286,0,0.002699,0.00054,0,0.005093,0.449763,0.391535,0.508532,0.000291,0,0.003069
"PH_TB_10.sorted.bam","10","TB",0.005068,0,0.027668,0.010156,1e-06,0.041277,0.696622,0.658185,0.733632,0.288154,0.251361,0.327284,0.002422,0,0.022333,0.001535,0,0.01538,0.006018,0,0.037706,0.002544,0,0.02406,0.002893,0,0.028293,0.426898,0.359392,0.492888,0.001213,0,0.011192,0.003847,0,0.035894,0.534011,0.449278,0.610308,0.018618,0,0.063606
