"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5"
"PH_CR_1.sorted.bam","1","CR",0.431455,0.399443,0.464418,0.135267,0.104855,0.166186,0.4037,0.374177,0.42917,0.027048,0.001423,0.052087,0.00253,1e-06,0.011669,0.14565,0.080952,0.203627,0.038839,0,0.131413,0.001285,0,0.014999,0.528144,0.458128,0.597286,0.227035,0.141083,0.295247,0.001294,0,0.012759,0.003645,0,0.040487,0.001268,0,0.012778,0.047653,0,0.101456,0.00046,0,0.005082,0.000983,0,0.010201,0.000822,0,0.009018,0.001981,0,0.018405,0.00061,0,0.006243,0.000332,0,0.003494
"PH_CR_2.sorted.bam","2","CR",0.423605,0.391735,0.455547,0.154889,0.129031,0.180202,0.40652,0.380158,0.427957,0.013217,3.9e-05,0.035094,0.001769,0,0.009275,0.167032,0.116287,0.214297,0.010574,0,0.080328,0.000623,0,0.006634,0.497285,0.429388,0.562074,0.295394,0.223122,0.350465,6e-04,0,0.006252,0.00449,0,0.035674,0.001942,0,0.019433,0.01821,0,0.067309,0.000608,0,0.006366,0.000798,0,0.009127,0.000622,0,0.006817,0.00095,0,0.009812,0.000574,0,0.006295,0.000297,0,0.003229
"PH_CR_3.sorted.bam","3","CR",0.425755,0.394898,0.457066,0.163791,0.136215,0.192643,0.399047,0.368904,0.42531,0.009593,6e-06,0.032088,0.001813,0,0.009334,0.141061,0.08427,0.198009,0.049291,0,0.141711,0.002871,0,0.023388,0.514951,0.448211,0.578558,0.270035,0.187345,0.337514,0.00043,0,0.004294,0.004244,0,0.036038,0.001781,0,0.017544,0.011494,0,0.056087,0.000579,0,0.006351,0.000901,0,0.009175,0.000734,0,0.007158,0.000754,0,0.008262,0.000511,0,0.00504,0.000364,0,0.003908
"PH_CR_4.sorted.bam","4","CR",0.270296,0.241881,0.298248,0.119989,0.093755,0.148729,0.442059,0.417515,0.46449,0.112982,0.085882,0.140947,0.054674,0.033991,0.075547,0.000515,0,0.005428,0.006782,0,0.051422,0.000565,0,0.005759,0.429914,0.367488,0.49237,0.22812,0.167014,0.288806,0.000286,0,0.002793,0.00316,0,0.031663,0.000758,0,0.008389,0.22042,0.165325,0.276437,0.000425,0,0.00462,0.099705,0.051333,0.145848,0.003188,0,0.033919,0.005092,0,0.044112,0.000777,0,0.008398,0.000293,0,0.003062
"PH_CR_5.sorted.bam","5","CR",0.429913,0.400352,0.460719,0.162123,0.134901,0.188374,0.400017,0.375784,0.421045,0.006488,1e-06,0.026915,0.001459,0,0.008448,0.159492,0.112102,0.207256,0.010457,0,0.089152,0.026945,0,0.059901,0.528853,0.463382,0.592409,0.258667,0.192697,0.319102,0.000589,0,0.006231,0.001009,0,0.010895,0.000784,0,0.008071,0.010171,0,0.051187,0.00034,0,0.003713,0.000521,0,0.005671,0.000449,0,0.004619,0.001164,0,0.011567,0.000333,0,0.003468,0.000225,0,0.00229
"PH_CR_6.sorted.bam","6","CR",0.43298,0.401362,0.464699,0.133542,0.106359,0.161545,0.402331,0.379271,0.423673,0.028844,0.003476,0.054896,0.002304,0,0.011743,0.182124,0.137737,0.227375,0.003439,0,0.033859,0.003502,0,0.026962,0.495937,0.425247,0.561255,0.254114,0.195096,0.311693,0.001549,0,0.015804,0.001715,0,0.01693,0.001779,0,0.018806,0.050092,0,0.105331,0.001683,0,0.017667,0.00062,0,0.006812,0.000746,0,0.007737,0.001422,0,0.016685,0.000734,0,0.007178,0.000542,0,0.00553
"PH_CR_7.sorted.bam","7","CR",0.408719,0.377813,0.440215,0.157924,0.129825,0.186555,0.403108,0.374636,0.428065,0.028491,0.004812,0.051612,0.001758,0,0.009276,0.111855,0.054154,0.169638,0.064871,0,0.153862,0.001166,0,0.01219,0.515978,0.445336,0.578951,0.246638,0.163305,0.328142,0.000523,0,0.005181,0.012038,0,0.067027,0.00134,0,0.014185,0.041554,0,0.099247,0.000747,0,0.007987,0.00084,0,0.009163,0.000667,0,0.007436,0.000999,0,0.010585,0.000556,0,0.005737,0.000227,0,0.002517
"PH_CR_8.sorted.bam","8","CR",0.445005,0.411716,0.480312,0.146908,0.119009,0.174181,0.394716,0.366364,0.419137,0.009091,3e-06,0.032182,0.004281,1e-06,0.018352,0.191703,0.137312,0.244687,0.00936,0,0.072744,0.005521,0,0.032045,0.492918,0.420837,0.564052,0.270541,0.204815,0.332173,0.004678,0,0.032286,0.002391,0,0.02347,0.001744,0,0.016766,0.012359,0,0.060386,0.000571,0,0.006099,0.001934,0,0.018968,0.001129,0,0.012999,0.004258,0,0.032331,0.000546,0,0.006438,0.000347,0,0.00371
"PH_CR_9.sorted.bam","9","CR",0.434027,0.397597,0.471157,0.139545,0.113827,0.16758,0.414904,0.383078,0.448737,0.007263,2e-06,0.0265,0.004261,1e-06,0.018739,0.170209,0.109494,0.223524,0.008199,0,0.071083,0.007991,0,0.040795,0.515645,0.439577,0.589933,0.251423,0.182384,0.313902,0.025789,0,0.081847,0.002753,0,0.026175,0.002247,0,0.022324,0.007143,0,0.043891,0.000764,0,0.007987,0.00104,0,0.010846,0.001239,0,0.013019,0.004018,0,0.03224,0.000855,0,0.009194,0.000685,0,0.007208
"PH_FC_10.sorted.bam","10","FC",0.005467,1e-06,0.023734,0.502056,0.469686,0.535374,0.423058,0.388527,0.451873,0.066089,0.044629,0.087875,0.00333,1e-06,0.016067,0.003062,0,0.020732,0.00107,0,0.011237,0.210992,0.171318,0.251919,0.001338,0,0.015428,0.579452,0.513614,0.644713,0.06804,0.000395,0.111596,0.001736,0,0.017464,0.000921,0,0.010013,0.126958,0.07959,0.17248,0.000909,0,0.009638,0.000666,0,0.006705,0.000685,0,0.007322,0.002288,0,0.021571,0.000745,0,0.007661,0.001138,0,0.010943
