"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2"
"PH_KC_6.sorted.bam","6","KC",0.996798,0.982082,1,0.003202,0,0.017918,0.995804,0.977524,1,0.001988,0,0.015478,0.002208,0,0.016215
"PH_KC_7.sorted.bam","7","KC",0.998886,0.993949,1,0.001114,0,0.006051,0.998499,0.991726,1,0.000775,0,0.005739,0.000726,0,0.005429
"PH_KC_8.sorted.bam","8","KC",0.529681,0.499821,0.572176,0.470319,0.427824,0.500179,0.059891,1e-06,0.145037,0.939581,0.854447,0.999953,0.000529,0,0.004176
"PH_KC_9.sorted.bam","9","KC",0.964619,0.93214,0.992922,0.035381,0.007078,0.06786,0.946672,0.884045,0.988896,0.035896,0,0.113079,0.017433,0,0.060435
"PH_MC_10.sorted.bam","10","MC",0.329502,0.286509,0.374249,0.670498,0.625751,0.713491,0.080437,0,0.209869,0.498128,0.255625,0.690656,0.421434,0.301465,0.559509
"PH_MC_11.sorted.bam","11","MC",0.332784,0.290074,0.377738,0.667216,0.622262,0.709926,0.074579,0,0.195575,0.51641,0.288468,0.700458,0.409011,0.291211,0.531864
"PH_MC_12.sorted.bam","12","MC",0.357378,0.303656,0.411047,0.642622,0.588953,0.696344,0.313141,0.170912,0.399573,0.088473,0,0.365198,0.598385,0.450814,0.685919
"PH_MC_5.sorted.bam","5","MC",0.345409,0.304706,0.387082,0.654591,0.612918,0.695294,0.171103,0.080635,0.261131,0.348612,0.172143,0.518339,0.480285,0.383825,0.581801
"PH_MC_6.sorted.bam","6","MC",0.368996,0.324969,0.412971,0.631004,0.587029,0.675031,0.202448,0.096591,0.315203,0.333094,0.123696,0.522845,0.464457,0.358164,0.573845
"PH_MC_7.sorted.bam","7","MC",0.438068,0.391179,0.494407,0.561932,0.505594,0.608821,0.001757,0,0.013425,0.872623,0.779379,0.983577,0.125621,0.013711,0.219251
"PH_MC_8.sorted.bam","8","MC",0.308879,0.261187,0.358459,0.691121,0.641541,0.738812,0.265898,0.145319,0.34711,0.085963,0,0.314713,0.64814,0.524878,0.728089
"PH_MC_9.sorted.bam","9","MC",0.355483,0.303676,0.409464,0.644517,0.590536,0.696324,0.268872,0.117246,0.389728,0.173223,0,0.456878,0.557905,0.408116,0.673063
"PH_ML_10.sorted.bam","10","ML",0.991545,0.966404,0.999997,0.008455,3e-06,0.033596,0.989339,0.957322,0.999995,0.004413,0,0.031905,0.006249,0,0.031301
"PH_ML_11.sorted.bam","11","ML",0.995854,0.97915,1,0.004146,0,0.02085,0.994241,0.971689,0.999999,0.003226,0,0.023025,0.002533,0,0.0173
"PH_ML_12.sorted.bam","12","ML",0.996739,0.983219,0.999999,0.003261,1e-06,0.016781,0.995535,0.97839,0.999999,0.002408,0,0.016642,0.002057,0,0.014574
"PH_ML_1.sorted.bam","1","ML",0.990189,0.966577,0.999996,0.009811,4e-06,0.033423,0.98486,0.94719,0.999994,0.010659,0,0.049561,0.004482,0,0.027287
"PH_ML_3.sorted.bam","3","ML",0.997604,0.987261,1,0.002396,0,0.012739,0.996799,0.984093,1,0.001609,0,0.011539,0.001591,0,0.010848
"PH_ML_4.sorted.bam","4","ML",0.993463,0.974998,0.999998,0.006537,2e-06,0.025002,0.991343,0.96413,0.999997,0.004241,0,0.032663,0.004416,0,0.022556
"PH_ML_5.sorted.bam","5","ML",0.997237,0.985598,1,0.002763,0,0.014402,0.99624,0.980978,0.999999,0.001995,0,0.01473,0.001765,0,0.012191
"PH_ML_6.sorted.bam","6","ML",0.996776,0.983023,1,0.003224,0,0.016977,0.995696,0.977729,1,0.002159,0,0.017122,0.002145,0,0.015625
"PH_ML_8.sorted.bam","8","ML",0.829312,0.793226,0.86353,0.170688,0.13647,0.206774,0.660258,0.587557,0.728259,0.338109,0.270139,0.411597,0.001633,0,0.012106
"PH_OF_10.sorted.bam","10","OF",0.129251,0.094572,0.165749,0.870749,0.834251,0.905428,0.006354,0,0.039827,0.245795,0.167103,0.321902,0.747851,0.675274,0.817238
"PH_OF_11.sorted.bam","11","OF",0.177382,0.136923,0.216964,0.822618,0.783036,0.863077,0.057726,2e-06,0.141581,0.239311,0.071114,0.384942,0.702963,0.606374,0.806937
"PH_OF_12.sorted.bam","12","OF",0.187702,0.148953,0.227731,0.812298,0.772269,0.851047,0.079845,0.001413,0.151346,0.215715,0.077968,0.369533,0.70444,0.607205,0.791673
