"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","q_6","lb_q_6","ub_q_6","q_7","lb_q_7","ub_q_7","q_8","lb_q_8","ub_q_8","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5","Q_6_1","lb_Q_6_1","ub_Q_6_1","Q_6_2","lb_Q_6_2","ub_Q_6_2","Q_6_3","lb_Q_6_3","ub_Q_6_3","Q_6_4","lb_Q_6_4","ub_Q_6_4","Q_6_5","lb_Q_6_5","ub_Q_6_5","Q_6_6","lb_Q_6_6","ub_Q_6_6","Q_7_1","lb_Q_7_1","ub_Q_7_1","Q_7_2","lb_Q_7_2","ub_Q_7_2","Q_7_3","lb_Q_7_3","ub_Q_7_3","Q_7_4","lb_Q_7_4","ub_Q_7_4","Q_7_5","lb_Q_7_5","ub_Q_7_5","Q_7_6","lb_Q_7_6","ub_Q_7_6","Q_7_7","lb_Q_7_7","ub_Q_7_7","Q_8_1","lb_Q_8_1","ub_Q_8_1","Q_8_2","lb_Q_8_2","ub_Q_8_2","Q_8_3","lb_Q_8_3","ub_Q_8_3","Q_8_4","lb_Q_8_4","ub_Q_8_4","Q_8_5","lb_Q_8_5","ub_Q_8_5","Q_8_6","lb_Q_8_6","ub_Q_8_6","Q_8_7","lb_Q_8_7","ub_Q_8_7","Q_8_8","lb_Q_8_8","ub_Q_8_8"
"PH_WC_10.sorted.bam","10","WC",0.17226,0.106116,0.211093,0.001665,0,0.012972,0.546971,0.457898,0.71269,0.003914,0,0.029058,0.104556,0.034523,0.169162,0.009202,0,0.043504,0.158683,0.058092,0.202997,0.002748,0,0.017454,9e-05,0,0.00074,0.000564,0,0.006629,0.000154,0,0.001637,0.017665,0,0.20175,0.000331,0,0.002906,0.431715,0.30102,0.576881,0.001049,0,0.012798,0.000315,0,0.00401,0.001621,0,0.020796,0.000228,0,0.00259,0.001586,0,0.024788,0.000685,0,0.00877,0.202897,0.057758,0.33434,0.001968,0,0.026915,0.000249,0,0.002506,0.006655,0,0.059864,0.00044,0,0.004081,0.006479,0,0.072883,0.001596,0,0.023027,0.000982,0,0.013492,0.000264,0,0.002164,0.315517,0.112373,0.404539,0.000193,0,0.002484,5e-04,0,0.005704,0.000406,0,0.003607,0.00025,0,0.002936,0.000154,0,0.001562,6.9e-05,0,0.000567,0.001303,0,0.021209,0.000494,0,0.00618,0.00102,0,0.014962,0.000416,0,0.004836,0.000245,0,0.003188,0.001571,0,0.022303,0.000208,0,0.001846,0.000119,0,0.001119
"PH_WC_11.sorted.bam","11","WC",0.167788,0.103434,0.20687,0.001571,0,0.012013,0.548337,0.457652,0.749851,0.008411,0,0.049636,0.11409,0.000381,0.18445,0.006019,0,0.044991,0.150032,0.026284,0.198106,0.003752,0,0.024942,6.4e-05,0,0.000794,0.00081,0,0.009094,0.000188,0,0.002308,0.038707,0,0.291472,0.000226,0,0.002957,0.416255,0.287711,0.625957,0.000662,0,0.009114,0.000402,0,0.004019,0.002532,0,0.033698,0.000109,0,0.001164,0.00072,0,0.006901,0.00017,0,0.001494,0.217261,0,0.366216,0.003692,0,0.055351,0.000113,0,0.001227,0.000808,0,0.008628,0.000297,0,0.003402,0.003686,0,0.05118,0.00155,0,0.023016,0.004473,0,0.070208,0.000154,0,0.001905,0.291494,0,0.395328,0.000201,0,0.00205,0.000315,0,0.003582,0.007519,0,0.084852,0.000102,0,0.001036,0.000137,0,0.001321,3.8e-05,0,0.000344,0.002247,0,0.032007,0.000661,0,0.009515,0.001437,0,0.023042,0.000246,0,0.002839,0.001536,0,0.018898,0.000779,0,0.011883,0.00022,0,0.001926,0.00019,0,0.002413
"PH_WC_1.sorted.bam","1","WC",0.143153,0.071879,0.182305,0.001422,0,0.011472,0.537952,0.447963,0.707487,0.047902,0.00014,0.095937,0.102143,0.03483,0.174137,0.016482,0,0.054434,0.128923,0.014724,0.173891,0.022024,2e-06,0.051097,0.000106,0,0.000966,0.000247,0,0.002927,0.00015,0,0.001563,0.018825,0,0.1994,0.000388,0,0.004286,0.374631,0.228671,0.596117,0.000757,0,0.009078,0.000555,0,0.00366,0.078122,0,0.185385,7e-05,0,0.000724,0.000294,0,0.003601,0.000341,0,0.004121,0.200894,0.069372,0.344401,0.000356,0,0.00474,0.000123,0,0.001487,0.003761,0,0.048916,0.000558,0,0.005633,0.00694,0,0.068554,0.010756,0,0.088983,0.000375,0,0.002893,0.000242,0,0.003088,0.2563,0.015222,0.346841,0.000108,0,0.000933,0.000244,0,0.002372,0.000441,0,0.003298,0.000227,0,0.002433,0.000142,0,0.001436,8.3e-05,0,0.000897,0.005908,0,0.054006,0.000346,0,0.00422,0.021227,0,0.096056,0.004677,0,0.050742,0.001553,0,0.019697,0.009948,0,0.062593,0.000217,0,0.002415,8.6e-05,0,0.000689
"PH_WC_2.sorted.bam","2","WC",0.144837,0.065026,0.184937,0.002055,0,0.014839,0.529252,0.438861,0.709282,0.029906,0,0.067823,0.089187,0.004686,0.147771,0.042537,0.015268,0.075399,0.142851,0.059529,0.183515,0.019375,0,0.05059,8.1e-05,0,0.000807,0.000774,0,0.010057,0.000106,0,0.001119,0.001842,0,0.022099,0.000373,0,0.002788,0.428639,0.289223,0.702854,0.00018,0,0.001829,0.000313,0,0.003187,0.004132,0,0.051126,0.000203,0,0.002492,0.000382,0,0.004036,0.000393,0,0.004653,0.167402,0,0.29028,0.001852,0,0.026368,0.001683,0,0.023049,0.000544,0,0.003488,0.000756,0,0.01093,0.017204,0,0.123042,0.051866,0,0.130277,0.000677,0,0.007325,0.000447,0,0.005006,0.283693,0.117061,0.365311,0.000283,0,0.003534,0.000381,0,0.002743,0.000193,0,0.002482,0.000206,0,0.002509,0.000245,0,0.002627,6e-05,0,0.000652,0.002094,0,0.029561,0.001006,0,0.01623,0.009892,0,0.077202,0.000871,0,0.009838,0.004096,0,0.061192,0.012887,0,0.083885,0.000582,0,0.008362,0.003661,0,0.027086
"PH_WC_3.sorted.bam","3","WC",0.160488,0.086358,0.209953,0.000941,0,0.007784,0.557476,0.466062,0.72546,0.0011,0,0.009044,0.129485,0.074955,0.183859,0.012624,0,0.064688,0.137292,2e-06,0.189488,0.000595,0,0.004731,8.6e-05,0,0.000898,0.00065,0,0.009809,7.8e-05,0,0.000935,0.03909,0,0.26191,0.000184,0,0.001773,0.405444,0.276011,0.565209,0.000186,0,0.001666,0.000137,0,0.001354,0.000694,0,0.009529,0.000125,0,0.001449,0.000337,0,0.003507,0.000206,0,0.002023,0.253163,0.136471,0.366033,0.000326,0,0.002862,0.000109,0,0.001175,0.007113,0,0.070767,0.000229,0,0.002487,0.010358,0,0.114357,0.000291,0,0.003397,0.004331,0,0.075679,0.001255,0,0.015187,0.273214,0,0.378109,0.000144,0,0.001763,0.00042,0,0.003659,0.000171,0,0.001688,0.00022,0,0.002237,0.000241,0,0.003257,5.8e-05,0,0.000593,0.000215,0,0.001929,0.000176,0,0.002134,0.000154,0,0.00167,0.000145,0,0.00169,0.000168,0,0.001544,0.000176,0,0.002084,5.8e-05,0,0.000512,4.9e-05,0,0.000429
"PH_WC_5.sorted.bam","5","WC",0.170507,0.103502,0.207608,0.000702,0,0.005944,0.447182,0.35748,0.658531,0.011096,0,0.061812,0.122049,0.000184,0.192688,0.014757,0,0.066677,0.158275,0.038127,0.206629,0.075433,0.043666,0.107465,3.3e-05,0,0.00031,0.000187,0,0.001686,6.5e-05,0,0.000643,0.040677,0,0.279587,0.000263,0,0.003133,0.214957,0.084206,0.400578,0.000149,0,0.001414,0.000128,0,0.001416,0.004973,0,0.077251,7e-05,0,0.000632,0.000872,0,0.006613,0.000117,0,0.001092,0.241557,0,0.384799,0.000454,0,0.005889,8.3e-05,0,0.000727,0.000467,0,0.005791,0.000177,0,0.00168,0.023554,0,0.132445,0.003385,0,0.048044,0.000717,0,0.01097,0.000108,0,0.000817,0.298219,0,0.412421,0.000323,0,0.00331,0.004507,0,0.111263,0.012791,0,0.117799,8.5e-05,0,0.000913,0.000241,0,0.002871,3.3e-05,0,0.000334,0.000377,0,0.003549,7.7e-05,0,0.000615,0.148918,0.084222,0.214285,0.000172,0,0.002261,0.00013,0,0.001345,0.000757,0,0.011253,0.000315,0,0.002843,6e-05,0,0.000644
"PH_WC_6.sorted.bam","6","WC",0.148211,0.067466,0.189336,0.001326,0,0.009952,0.53076,0.440886,0.702933,0.010304,0,0.050472,0.141056,0.080034,0.199443,0.019716,0,0.059587,0.143343,0.059855,0.185436,0.005284,0,0.03089,0.000123,0,0.001145,0.000362,0,0.004014,9.7e-05,0,0.001122,0.001125,0,0.01642,0.000407,0,0.005149,0.384821,0.255798,0.578205,0.000518,0,0.006076,0.00029,0,0.002927,0.005853,0,0.081482,9.5e-05,0,0.000863,0.003824,0,0.0508,0.000172,0,0.001543,0.27142,0.130082,0.393326,0.001971,0,0.026339,0.00072,0,0.007153,0.005108,0,0.052664,0.00063,0,0.008506,0.011469,0,0.101088,0.01086,0,0.077886,0.002464,0,0.033774,0.001105,0,0.015536,0.284641,0.116985,0.368716,0.000233,0,0.002514,0.00032,0,0.003763,0.000608,0,0.006518,0.000126,0,0.001139,0.000226,0,0.002393,5.9e-05,0,0.000645,0.000597,0,0.008715,0.000364,0,0.004126,0.001285,0,0.020684,0.000318,0,0.002918,0.000696,0,0.009539,0.006463,0,0.056774,0.000415,0,0.004543,0.000214,0,0.002197
"PH_WC_7.sorted.bam","7","WC",0.177743,0.110516,0.216791,0.001807,0,0.014883,0.548365,0.453309,0.731403,0.00202,0,0.01681,0.079514,0.015537,0.136708,0.005391,0,0.030167,0.165843,0.069268,0.210203,0.019317,0,0.047781,0.000145,0,0.001376,0.000387,0,0.005418,0.000114,0,0.000972,0.001165,0,0.011369,0.000966,0,0.014058,0.468891,0.330922,0.728371,0.000141,0,0.001492,0.00017,0,0.001893,0.001317,0,0.02007,0.000112,0,0.001464,0.01499,0,0.122378,0.000429,0,0.004367,0.138156,0,0.265388,0.000662,0,0.00852,0.000128,0,0.001239,0.000726,0,0.009993,0.000206,0,0.002675,0.001224,0,0.018435,0.000564,0,0.006358,0.000892,0,0.013478,0.000238,0,0.002422,0.328301,0.124925,0.417565,0.00036,0,0.003555,0.000222,0,0.002407,0.000575,0,0.00773,0.000311,0,0.003345,0.000101,0,0.001166,4.7e-05,0,0.000529,0.009487,0,0.058189,0.00087,0,0.013414,0.015898,0,0.088418,0.000387,0,0.00448,0.003333,0,0.03867,0.006591,0,0.056843,0.001722,0,0.027033,0.000172,0,0.001903
"PH_WC_8.sorted.bam","8","WC",0.158549,0.080758,0.199484,0.00102,0,0.008045,0.473694,0.391055,0.623673,0.005981,0,0.038168,0.128544,0.068403,0.183939,0.00398,0,0.030966,0.157631,0.080275,0.198073,0.070601,0.039694,0.10368,0.000122,0,0.001038,0.000308,0,0.004013,9.2e-05,0,0.001046,0.003987,0,0.057127,0.000204,0,0.002431,0.275509,0.152645,0.444863,0.000424,0,0.006035,0.000311,0,0.003728,0.001531,0,0.025056,5.8e-05,0,0.000487,0.000623,0,0.008079,0.000177,0,0.001971,0.250406,0.091989,0.363644,0.004165,0,0.061095,0.000342,0,0.003675,0.000671,0,0.009382,0.000358,0,0.004673,0.001983,0,0.02562,0.003297,0,0.045081,0.000349,0,0.0044,0.000133,0,0.001234,0.310442,0.125299,0.393978,0.000342,0,0.003772,0.000313,0,0.002529,0.001912,0,0.027361,3e-04,0,0.003308,0.000432,0,0.003292,9.8e-05,0,0.000888,0.000399,0,0.004407,0.000154,0,0.001546,0.137945,0.068572,0.205693,0.000207,0,0.001691,0.000382,0,0.003683,0.000602,0,0.006997,0.001325,0,0.00528,9.4e-05,0,0.001117
"PH_WC_9.sorted.bam","9","WC",0.145582,0.07227,0.185462,0.004929,0,0.026351,0.537836,0.458205,0.683181,0.010095,0,0.049372,0.143079,0.086836,0.208702,0.010438,0,0.044928,0.144609,0.068964,0.184494,0.003433,0,0.023295,0.000114,0,0.001091,0.001035,0,0.014532,0.000321,0,0.004604,0.00068,0,0.008501,0.000275,0,0.003425,0.393161,0.273009,0.5539,0.001062,0,0.015331,0.00051,0,0.007117,0.005295,0,0.073452,0.000279,0,0.003271,0.000444,0,0.003987,0.004147,0,0.040525,0.277901,0.155007,0.415536,0.001121,0,0.015606,0.000432,0,0.004756,0.001009,0,0.015163,0.002474,0,0.03447,0.003295,0,0.044434,0.009906,0,0.082106,0.001107,0,0.007327,0.000138,0,0.001502,0.286448,0.135125,0.364596,0.000283,0,0.00293,0.000634,0,0.005263,0.000981,0,0.014739,0.000276,0,0.003011,0.000196,0,0.001778,8.7e-05,0,0.000903,0.000257,0,0.002271,0.000492,0,0.006074,0.001271,0,0.01769,0.000755,0,0.010178,0.000296,0,0.002706,0.002613,0,0.031958,0.000227,0,0.001926,0.000478,0,0.006721
