param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.029347,0.029590,0.000429,0.058026
q_ind_1_pop_0,0.005487,0.002499,0.000001,0.025042
q_ind_2_pop_0,0.004313,0.002108,0.000000,0.018830
q_ind_3_pop_0,0.003525,0.001618,0.000000,0.016286
q_ind_4_pop_0,0.118016,0.117763,0.085209,0.151711
q_ind_5_pop_0,0.002950,0.001134,0.000000,0.015313
q_ind_6_pop_0,0.003969,0.001845,0.000001,0.018720
q_ind_7_pop_0,0.008115,0.005829,0.000003,0.028124
q_ind_8_pop_0,0.002282,0.000768,0.000000,0.012788
q_ind_9_pop_0,0.002464,0.000927,0.000000,0.012682
q_ind_10_pop_0,0.008565,0.005790,0.000002,0.031146
q_ind_11_pop_0,0.005454,0.002807,0.000001,0.024081
q_ind_12_pop_0,0.664599,0.664609,0.625850,0.704173
q_ind_13_pop_0,0.646265,0.646057,0.604006,0.688848
q_ind_14_pop_0,0.666640,0.666665,0.627146,0.706586
q_ind_15_pop_0,0.635929,0.635901,0.597157,0.675953
q_ind_16_pop_0,0.663429,0.663884,0.622614,0.702903
q_ind_17_pop_0,0.678499,0.678517,0.638193,0.719443
q_ind_18_pop_0,0.641041,0.640445,0.603310,0.679993
q_ind_19_pop_0,0.520236,0.517420,0.498504,0.561542
q_ind_20_pop_0,0.241330,0.240982,0.199326,0.285055
q_ind_21_pop_0,0.220629,0.220209,0.182447,0.258991
q_ind_22_pop_0,0.186094,0.186323,0.144408,0.227968
q_ind_23_pop_0,0.226893,0.227393,0.180924,0.271263
q_ind_24_pop_0,0.222612,0.222645,0.184305,0.262593
q_ind_25_pop_0,0.190781,0.191064,0.151119,0.229845
q_ind_26_pop_0,0.212932,0.212698,0.172748,0.254591
q_ind_27_pop_0,0.189681,0.189728,0.152587,0.227640
q_ind_28_pop_0,0.211976,0.212397,0.169575,0.251746
q_ind_29_pop_0,0.205137,0.204979,0.167000,0.245688
q_ind_30_pop_0,0.131752,0.131752,0.098321,0.166211
q_ind_31_pop_0,0.120015,0.119480,0.077534,0.163729
q_ind_32_pop_0,0.119157,0.118964,0.079147,0.157513
q_ind_33_pop_0,0.091019,0.090446,0.052712,0.131031
q_ind_34_pop_0,0.142584,0.142620,0.106258,0.178389
q_ind_35_pop_0,0.111523,0.110969,0.077019,0.149244
q_ind_36_pop_0,0.134611,0.134710,0.099884,0.170540
q_ind_37_pop_0,0.123140,0.123407,0.086373,0.159574
q_ind_38_pop_0,0.387178,0.387066,0.345029,0.430764
q_ind_39_pop_0,0.138794,0.138479,0.092325,0.186268
q_ind_40_pop_0,0.120573,0.120288,0.080527,0.162684
q_ind_41_pop_0,0.902651,0.902703,0.864853,0.938964
q_ind_42_pop_0,0.925587,0.926172,0.889283,0.958622
q_ind_43_pop_0,0.921854,0.922058,0.880608,0.962782
q_ind_44_pop_0,0.956990,0.956778,0.920970,0.997301
q_ind_45_pop_0,0.931756,0.932504,0.895518,0.964954
q_ind_46_pop_0,0.934499,0.934946,0.897091,0.968574
q_ind_47_pop_0,0.954727,0.955431,0.922114,0.983002
q_ind_48_pop_0,0.876009,0.876367,0.841769,0.907981
q_ind_49_pop_0,0.877144,0.877402,0.842528,0.909904
q_ind_50_pop_0,0.896436,0.896873,0.860940,0.929966
q_ind_51_pop_0,0.884536,0.884803,0.851864,0.915860
q_ind_52_pop_0,0.906071,0.906021,0.873768,0.937543
q_ind_53_pop_0,0.894988,0.894751,0.861350,0.927513
q_ind_54_pop_0,0.601223,0.600790,0.560038,0.640744
q_ind_55_pop_0,0.914278,0.914234,0.882637,0.945249
q_ind_56_pop_0,0.882014,0.882566,0.844813,0.915407
q_ind_57_pop_0,0.877324,0.877752,0.842582,0.909469
q_ind_58_pop_0,0.891278,0.891314,0.855018,0.926610
q_ind_59_pop_0,0.888569,0.888821,0.853845,0.922038
q_ind_60_pop_0,0.740548,0.740529,0.700681,0.778296
q_ind_61_pop_0,0.593472,0.593921,0.554383,0.629715
q_ind_62_pop_0,0.615737,0.615689,0.579100,0.651841
q_ind_63_pop_0,0.749677,0.749478,0.709761,0.789877
q_ind_64_pop_0,0.713188,0.713341,0.672907,0.752217
q_ind_65_pop_0,0.736721,0.736774,0.696691,0.776627
q_ind_66_pop_0,0.618043,0.617730,0.581480,0.654289
q_ind_67_pop_0,0.572037,0.571585,0.534874,0.609613
q_ind_68_pop_0,0.752261,0.752348,0.710953,0.792052
q_ind_69_pop_0,0.116982,0.116403,0.082668,0.155715
q_ind_70_pop_0,0.087962,0.087564,0.054399,0.123633
q_ind_71_pop_0,0.141637,0.141487,0.105488,0.177946
q_ind_72_pop_0,0.111898,0.111239,0.078468,0.147442
q_ind_73_pop_0,0.120392,0.120074,0.087397,0.155785
q_ind_74_pop_0,0.128018,0.127291,0.090364,0.167971
q_ind_75_pop_0,0.127270,0.127198,0.091870,0.165193
q_ind_76_pop_0,0.095803,0.095608,0.060923,0.132653
q_ind_77_pop_0,0.117343,0.117418,0.084701,0.149946
q_ind_78_pop_0,0.133183,0.133293,0.098089,0.168628
q_ind_79_pop_0,0.115101,0.114610,0.080881,0.151852
q_ind_80_pop_0,0.292390,0.292335,0.246467,0.339044
q_ind_81_pop_0,0.298652,0.298874,0.257190,0.341216
q_ind_82_pop_0,0.365473,0.365756,0.317165,0.413838
q_ind_83_pop_0,0.324307,0.324316,0.282819,0.367995
q_ind_84_pop_0,0.329352,0.329540,0.287032,0.373827
q_ind_85_pop_0,0.324506,0.324086,0.281685,0.370644
q_ind_86_pop_0,0.377538,0.376781,0.336104,0.421000
q_ind_87_pop_0,0.296131,0.296342,0.248654,0.342993
q_ind_88_pop_0,0.995900,0.998075,0.981917,0.999999
q_ind_89_pop_0,0.996954,0.998791,0.984573,1.000000
q_ind_90_pop_0,0.531409,0.531623,0.499874,0.570224
q_ind_91_pop_0,0.501943,0.500082,0.497050,0.516867
q_ind_92_pop_0,0.998485,0.999439,0.991837,1.000000
q_ind_93_pop_0,0.998480,0.999465,0.991627,1.000000
q_ind_94_pop_0,0.996798,0.998880,0.982082,1.000000
q_ind_95_pop_0,0.998886,0.999616,0.993949,1.000000
q_ind_96_pop_0,0.529681,0.528346,0.499821,0.572176
q_ind_97_pop_0,0.964619,0.965505,0.932140,0.992922
q_ind_98_pop_0,0.329502,0.329215,0.286509,0.374249
q_ind_99_pop_0,0.332784,0.332504,0.290074,0.377738
q_ind_100_pop_0,0.357378,0.357029,0.303656,0.411047
q_ind_101_pop_0,0.345409,0.344995,0.304706,0.387082
q_ind_102_pop_0,0.368996,0.368761,0.324969,0.412971
q_ind_103_pop_0,0.438068,0.437318,0.391179,0.494407
q_ind_104_pop_0,0.308879,0.308626,0.261187,0.358459
q_ind_105_pop_0,0.355483,0.355186,0.303676,0.409464
q_ind_106_pop_0,0.991545,0.995178,0.966404,0.999997
q_ind_107_pop_0,0.995854,0.998250,0.979150,1.000000
q_ind_108_pop_0,0.996739,0.998654,0.983219,0.999999
q_ind_109_pop_0,0.990189,0.992798,0.966577,0.999996
q_ind_110_pop_0,0.997604,0.999065,0.987261,1.000000
q_ind_111_pop_0,0.993463,0.996145,0.974998,0.999998
q_ind_112_pop_0,0.997237,0.998989,0.985598,1.000000
q_ind_113_pop_0,0.996776,0.998895,0.983023,1.000000
q_ind_114_pop_0,0.829312,0.829471,0.793226,0.863530
q_ind_115_pop_0,0.129251,0.128914,0.094572,0.165749
q_ind_116_pop_0,0.177382,0.177346,0.136923,0.216964
q_ind_117_pop_0,0.187702,0.187202,0.148953,0.227731
q_ind_118_pop_0,0.181346,0.181247,0.143757,0.219729
q_ind_119_pop_0,0.169680,0.169390,0.132308,0.208093
q_ind_120_pop_0,0.168086,0.168767,0.125090,0.210341
q_ind_121_pop_0,0.269683,0.269407,0.231263,0.307465
q_ind_122_pop_0,0.275974,0.276280,0.235973,0.314612
q_ind_123_pop_0,0.270628,0.270841,0.229778,0.313185
