param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.319457,0.316719,0.252353,0.393315
q_ind_1_pop_0,0.328692,0.320162,0.250132,0.419697
q_ind_2_pop_0,0.297563,0.294098,0.211043,0.387467
q_ind_3_pop_0,0.322327,0.316267,0.248212,0.415166
q_ind_4_pop_0,0.239591,0.238691,0.195454,0.286798
q_ind_5_pop_0,0.318085,0.312801,0.256794,0.400712
q_ind_6_pop_0,0.346088,0.337556,0.279896,0.438454
q_ind_7_pop_0,0.328753,0.322406,0.264155,0.413378
q_ind_8_pop_0,0.335858,0.328237,0.269724,0.421338
q_ind_9_pop_0,0.356208,0.347255,0.297232,0.451365
q_ind_10_pop_0,0.348845,0.337904,0.280283,0.437482
q_ind_11_pop_0,0.345051,0.344882,0.272976,0.417435
q_ind_12_pop_0,0.025604,0.024940,0.000000,0.063901
q_ind_13_pop_0,0.003220,0.000341,0.000000,0.023691
q_ind_14_pop_0,0.031777,0.032046,0.000034,0.064314
q_ind_15_pop_0,0.044825,0.041525,0.000733,0.102979
q_ind_16_pop_0,0.019273,0.016382,0.000000,0.056304
q_ind_17_pop_0,0.023919,0.018800,0.000000,0.068790
q_ind_18_pop_0,0.014104,0.006533,0.000000,0.072631
q_ind_19_pop_0,0.013699,0.004353,0.000000,0.054834
q_ind_20_pop_0,0.001221,0.000097,0.000000,0.010368
q_ind_21_pop_0,0.013833,0.000839,0.000000,0.105347
q_ind_22_pop_0,0.003339,0.000389,0.000000,0.020747
q_ind_23_pop_0,0.037985,0.027810,0.000001,0.152373
q_ind_24_pop_0,0.007469,0.000713,0.000000,0.057244
q_ind_25_pop_0,0.001072,0.000089,0.000000,0.008398
q_ind_26_pop_0,0.001768,0.000129,0.000000,0.012904
q_ind_27_pop_0,0.005271,0.000442,0.000000,0.044214
q_ind_28_pop_0,0.002589,0.000195,0.000000,0.020314
q_ind_29_pop_0,0.002794,0.000218,0.000000,0.020551
q_ind_30_pop_0,0.632526,0.565474,0.532701,0.976687
