param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.004482,0.001523,0.000000,0.024268
q_ind_1_pop_0,0.001688,0.000363,0.000000,0.010846
q_ind_2_pop_0,0.003193,0.000965,0.000000,0.017470
q_ind_3_pop_0,0.004027,0.001380,0.000000,0.020310
q_ind_4_pop_0,0.033474,0.035484,0.000008,0.069798
q_ind_5_pop_0,0.002356,0.000611,0.000000,0.013946
q_ind_6_pop_0,0.002285,0.000591,0.000000,0.014415
q_ind_7_pop_0,0.004344,0.001713,0.000000,0.020778
q_ind_8_pop_0,0.001912,0.000403,0.000000,0.012891
q_ind_9_pop_0,0.001479,0.000331,0.000000,0.009865
q_ind_10_pop_0,0.005365,0.002246,0.000000,0.026001
q_ind_11_pop_0,0.005658,0.002666,0.000000,0.024876
q_ind_12_pop_0,0.548356,0.548272,0.504388,0.587232
q_ind_13_pop_0,0.531239,0.531248,0.494381,0.580140
q_ind_14_pop_0,0.552709,0.555111,0.496695,0.597368
q_ind_15_pop_0,0.518347,0.517091,0.479742,0.563403
q_ind_16_pop_0,0.534074,0.536269,0.497350,0.581027
q_ind_17_pop_0,0.587971,0.587687,0.545860,0.632883
q_ind_18_pop_0,0.545368,0.547209,0.499272,0.583243
q_ind_19_pop_0,0.499614,0.499874,0.494960,0.504644
q_ind_20_pop_0,0.015393,0.011932,0.000001,0.047779
q_ind_21_pop_0,0.020260,0.018432,0.000016,0.052008
q_ind_22_pop_0,0.004085,0.001641,0.000000,0.020447
q_ind_23_pop_0,0.025832,0.023889,0.000015,0.066643
q_ind_24_pop_0,0.052345,0.051591,0.022076,0.086211
q_ind_25_pop_0,0.004111,0.001731,0.000000,0.019698
q_ind_26_pop_0,0.013056,0.008506,0.000000,0.046166
q_ind_27_pop_0,0.004035,0.001376,0.000000,0.021628
q_ind_28_pop_0,0.017997,0.016078,0.000003,0.052437
q_ind_29_pop_0,0.013454,0.011950,0.000002,0.038880
q_ind_30_pop_0,0.122651,0.122176,0.087130,0.162317
q_ind_31_pop_0,0.107849,0.105588,0.063954,0.160738
q_ind_32_pop_0,0.097927,0.098204,0.052572,0.139842
q_ind_33_pop_0,0.093305,0.093096,0.052875,0.133411
q_ind_34_pop_0,0.128280,0.127935,0.091416,0.166581
q_ind_35_pop_0,0.117610,0.117324,0.082341,0.154067
q_ind_36_pop_0,0.117368,0.117301,0.080385,0.155098
q_ind_37_pop_0,0.118234,0.118612,0.076757,0.157227
q_ind_38_pop_0,0.256296,0.256413,0.215933,0.296805
q_ind_39_pop_0,0.112812,0.113020,0.058939,0.173550
q_ind_40_pop_0,0.073178,0.072909,0.031310,0.116360
q_ind_41_pop_0,0.858960,0.859302,0.814708,0.897425
q_ind_42_pop_0,0.858148,0.858709,0.810974,0.902668
q_ind_43_pop_0,0.882326,0.882695,0.835861,0.926363
q_ind_44_pop_0,0.906149,0.906852,0.865913,0.944328
q_ind_45_pop_0,0.879478,0.880120,0.832340,0.921381
q_ind_46_pop_0,0.884974,0.885548,0.840509,0.925215
q_ind_47_pop_0,0.898771,0.899074,0.856657,0.937683
q_ind_48_pop_0,0.794774,0.795190,0.752725,0.833739
q_ind_49_pop_0,0.789229,0.789612,0.747497,0.828094
q_ind_50_pop_0,0.823208,0.823337,0.783540,0.862200
q_ind_51_pop_0,0.807837,0.808284,0.766865,0.845568
q_ind_52_pop_0,0.843950,0.844602,0.807057,0.879528
q_ind_53_pop_0,0.810527,0.810419,0.771509,0.849240
q_ind_54_pop_0,0.501784,0.499978,0.494234,0.524943
q_ind_55_pop_0,0.844746,0.844889,0.808493,0.880934
q_ind_56_pop_0,0.802845,0.803068,0.760587,0.844698
q_ind_57_pop_0,0.792481,0.792498,0.751910,0.832543
q_ind_58_pop_0,0.827085,0.827077,0.786666,0.866314
q_ind_59_pop_0,0.832508,0.832190,0.790651,0.873998
q_ind_60_pop_0,0.568149,0.567911,0.521335,0.616213
q_ind_61_pop_0,0.469283,0.470367,0.421883,0.507449
q_ind_62_pop_0,0.499721,0.499866,0.478958,0.521147
q_ind_63_pop_0,0.568030,0.568424,0.521136,0.615162
q_ind_64_pop_0,0.541556,0.541093,0.496010,0.589024
q_ind_65_pop_0,0.575222,0.575593,0.526509,0.621888
q_ind_66_pop_0,0.491345,0.496694,0.446462,0.525055
q_ind_67_pop_0,0.478028,0.484586,0.421152,0.502969
q_ind_68_pop_0,0.580267,0.580600,0.533214,0.626701
q_ind_69_pop_0,0.001492,0.000364,0.000000,0.009010
q_ind_70_pop_0,0.001455,0.000294,0.000000,0.009060
q_ind_71_pop_0,0.002328,0.000650,0.000000,0.012957
q_ind_72_pop_0,0.001381,0.000330,0.000000,0.008560
q_ind_73_pop_0,0.010449,0.007894,0.000001,0.034165
q_ind_74_pop_0,0.003399,0.001153,0.000000,0.018398
q_ind_75_pop_0,0.003606,0.001139,0.000000,0.020074
q_ind_76_pop_0,0.002435,0.000665,0.000000,0.014974
q_ind_77_pop_0,0.002378,0.000712,0.000000,0.013581
q_ind_78_pop_0,0.002492,0.000661,0.000000,0.015214
q_ind_79_pop_0,0.004495,0.001631,0.000000,0.022913
q_ind_80_pop_0,0.240301,0.239427,0.189964,0.293901
q_ind_81_pop_0,0.253630,0.253159,0.209982,0.297253
q_ind_82_pop_0,0.313819,0.312980,0.262756,0.367149
q_ind_83_pop_0,0.270772,0.270617,0.227444,0.316536
q_ind_84_pop_0,0.266020,0.266371,0.222451,0.310305
q_ind_85_pop_0,0.270883,0.270506,0.224737,0.317741
q_ind_86_pop_0,0.281571,0.281200,0.237267,0.325759
q_ind_87_pop_0,0.254120,0.253834,0.203809,0.306727
q_ind_88_pop_0,0.995140,0.997357,0.979455,0.999995
q_ind_89_pop_0,0.995958,0.998094,0.979950,0.999996
q_ind_90_pop_0,0.499660,0.499915,0.494554,0.504480
q_ind_91_pop_0,0.499266,0.499868,0.492909,0.503136
q_ind_92_pop_0,0.997839,0.999067,0.988699,0.999998
