param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.028038,0.031960,0.000000,0.054880
q_ind_1_pop_0,0.025714,0.027785,0.000000,0.060404
q_ind_2_pop_0,0.003562,0.000388,0.000000,0.020919
q_ind_3_pop_0,0.021263,0.021843,0.000000,0.052434
q_ind_4_pop_0,0.085339,0.095059,0.001921,0.119322
q_ind_5_pop_0,0.015972,0.016388,0.000000,0.041589
q_ind_6_pop_0,0.003420,0.000319,0.000000,0.022630
q_ind_7_pop_0,0.023063,0.024417,0.000000,0.053930
q_ind_8_pop_0,0.022923,0.024240,0.000000,0.059319
q_ind_9_pop_0,0.002544,0.000233,0.000000,0.017308
q_ind_10_pop_0,0.016520,0.015610,0.000000,0.046593
q_ind_11_pop_0,0.021059,0.021885,0.000000,0.048732
q_ind_12_pop_0,0.356383,0.350325,0.316918,0.436692
q_ind_13_pop_0,0.332409,0.326609,0.291366,0.399540
q_ind_14_pop_0,0.332426,0.328539,0.299001,0.401527
q_ind_15_pop_0,0.325196,0.319007,0.286814,0.395523
q_ind_16_pop_0,0.355079,0.344486,0.312066,0.444353
q_ind_17_pop_0,0.316662,0.306150,0.265778,0.420385
q_ind_18_pop_0,0.353912,0.352031,0.322879,0.407550
q_ind_19_pop_0,0.301685,0.302995,0.258455,0.336116
q_ind_20_pop_0,0.112890,0.124296,0.032202,0.153363
q_ind_21_pop_0,0.101855,0.118088,0.000001,0.143787
q_ind_22_pop_0,0.083026,0.097966,0.000001,0.125685
q_ind_23_pop_0,0.110591,0.123108,0.016488,0.153255
q_ind_24_pop_0,0.120323,0.131851,0.040147,0.161703
q_ind_25_pop_0,0.084465,0.099092,0.000001,0.126537
q_ind_26_pop_0,0.087898,0.101254,0.000013,0.126553
q_ind_27_pop_0,0.087634,0.099688,0.000148,0.129047
q_ind_28_pop_0,0.095875,0.111414,0.000002,0.138327
q_ind_29_pop_0,0.115730,0.128112,0.022329,0.158445
q_ind_30_pop_0,0.067396,0.078396,0.000005,0.105275
q_ind_31_pop_0,0.057509,0.067802,0.000000,0.097464
q_ind_32_pop_0,0.055641,0.065543,0.000000,0.095845
q_ind_33_pop_0,0.034835,0.042153,0.000000,0.070426
q_ind_34_pop_0,0.062915,0.072270,0.000093,0.098970
q_ind_35_pop_0,0.047938,0.059273,0.000000,0.084858
q_ind_36_pop_0,0.076910,0.087577,0.000017,0.113938
q_ind_37_pop_0,0.057153,0.070021,0.000000,0.102171
q_ind_38_pop_0,0.157694,0.170052,0.066531,0.198840
q_ind_39_pop_0,0.047450,0.052297,0.000000,0.088870
q_ind_40_pop_0,0.041274,0.050818,0.000000,0.085789
q_ind_41_pop_0,0.091734,0.092234,0.046061,0.131338
q_ind_42_pop_0,0.102370,0.103157,0.059299,0.134096
q_ind_43_pop_0,0.125834,0.132277,0.002828,0.165641
q_ind_44_pop_0,0.120146,0.123870,0.048762,0.153935
q_ind_45_pop_0,0.105482,0.104107,0.070448,0.145713
q_ind_46_pop_0,0.095670,0.100389,0.006032,0.136220
q_ind_47_pop_0,0.120871,0.122084,0.064948,0.158943
q_ind_48_pop_0,0.097832,0.098119,0.062628,0.129358
q_ind_49_pop_0,0.119011,0.118246,0.073771,0.165595
q_ind_50_pop_0,0.341491,0.323366,0.287213,0.429768
q_ind_51_pop_0,0.360034,0.342450,0.310970,0.458252
q_ind_52_pop_0,0.352342,0.336029,0.302641,0.442572
q_ind_53_pop_0,0.334975,0.318494,0.283578,0.433040
q_ind_54_pop_0,0.346939,0.325524,0.291141,0.463590
q_ind_55_pop_0,0.319486,0.303328,0.271464,0.411000
q_ind_56_pop_0,0.285544,0.283146,0.247351,0.330759
q_ind_57_pop_0,0.337099,0.320581,0.284669,0.431736
q_ind_58_pop_0,0.316194,0.298930,0.263137,0.420854
q_ind_59_pop_0,0.344759,0.327663,0.296041,0.443766
q_ind_60_pop_0,0.348724,0.329029,0.295211,0.452579
q_ind_61_pop_0,0.306684,0.290158,0.250445,0.415903
q_ind_62_pop_0,0.001011,0.000064,0.000000,0.008089
q_ind_63_pop_0,0.000996,0.000054,0.000000,0.008274
q_ind_64_pop_0,0.001198,0.000086,0.000000,0.008952
q_ind_65_pop_0,0.000287,0.000017,0.000000,0.002380
q_ind_66_pop_0,0.000497,0.000038,0.000000,0.003980
q_ind_67_pop_0,0.104948,0.115236,0.002295,0.141186
q_ind_68_pop_0,0.116177,0.126424,0.000068,0.159037
q_ind_69_pop_0,0.129079,0.134465,0.049844,0.161359
q_ind_70_pop_0,0.109178,0.114643,0.049658,0.141250
q_ind_71_pop_0,0.120416,0.126567,0.056860,0.154214
q_ind_72_pop_0,0.102124,0.108754,0.023132,0.135349
q_ind_73_pop_0,0.130420,0.139841,0.044998,0.168375
q_ind_74_pop_0,0.131543,0.149999,0.000085,0.179667
q_ind_75_pop_0,0.112611,0.117606,0.050029,0.145026
q_ind_76_pop_0,0.069223,0.081353,0.000000,0.122393
q_ind_77_pop_0,0.053563,0.064992,0.000000,0.091783
q_ind_78_pop_0,0.068595,0.084143,0.000000,0.108611
q_ind_79_pop_0,0.059120,0.069790,0.000000,0.095649
q_ind_80_pop_0,0.081805,0.090043,0.018842,0.116728
q_ind_81_pop_0,0.045315,0.055657,0.000000,0.082455
q_ind_82_pop_0,0.054685,0.065347,0.000000,0.090150
q_ind_83_pop_0,0.041702,0.051133,0.000000,0.074763
q_ind_84_pop_0,0.073915,0.088783,0.000000,0.116243
q_ind_85_pop_0,0.060680,0.073471,0.000000,0.098224
q_ind_86_pop_0,0.061418,0.070810,0.000052,0.095796
q_ind_87_pop_0,0.138312,0.131958,0.098414,0.224571
q_ind_88_pop_0,0.175823,0.172299,0.137761,0.251810
q_ind_89_pop_0,0.213620,0.207943,0.163340,0.297178
q_ind_90_pop_0,0.172941,0.168141,0.136455,0.240295
q_ind_91_pop_0,0.182827,0.177843,0.142114,0.270993
q_ind_92_pop_0,0.195016,0.188049,0.154420,0.275282
q_ind_93_pop_0,0.141713,0.144104,0.097851,0.171660
q_ind_94_pop_0,0.148497,0.141958,0.100146,0.232259
q_ind_95_pop_0,0.150098,0.150249,0.104790,0.186717
q_ind_96_pop_0,0.150040,0.150302,0.105823,0.183434
q_ind_97_pop_0,0.200445,0.217968,0.001780,0.249786
q_ind_98_pop_0,0.185252,0.196422,0.074118,0.229255
q_ind_99_pop_0,0.124236,0.125663,0.064434,0.154133
q_ind_100_pop_0,0.118243,0.120877,0.046075,0.149132
q_ind_101_pop_0,0.118834,0.121512,0.048625,0.144899
q_ind_102_pop_0,0.122412,0.125643,0.043315,0.152788
q_ind_103_pop_0,0.102150,0.106222,0.002796,0.127452
q_ind_104_pop_0,0.226761,0.235239,0.124830,0.268869
q_ind_105_pop_0,0.159216,0.158039,0.122768,0.199441
q_ind_106_pop_0,0.104218,0.114465,0.011546,0.158287
q_ind_107_pop_0,0.082827,0.092259,0.000055,0.124322
q_ind_108_pop_0,0.057175,0.064096,0.000000,0.102488
q_ind_109_pop_0,0.088794,0.098407,0.000052,0.127435
q_ind_110_pop_0,0.088543,0.095964,0.008356,0.130737
q_ind_111_pop_0,0.176291,0.180702,0.119681,0.214108
q_ind_112_pop_0,0.101396,0.111687,0.000007,0.169082
q_ind_113_pop_0,0.093332,0.099627,0.020186,0.135419
q_ind_114_pop_0,0.205819,0.203504,0.175701,0.248435
q_ind_115_pop_0,0.181588,0.178174,0.151358,0.228019
q_ind_116_pop_0,0.197758,0.194859,0.166030,0.242540
q_ind_117_pop_0,0.186763,0.184784,0.158204,0.223334
q_ind_118_pop_0,0.173070,0.171727,0.140633,0.213325
q_ind_119_pop_0,0.165330,0.163509,0.132415,0.207010
q_ind_120_pop_0,0.172257,0.169523,0.142826,0.214628
q_ind_121_pop_0,0.168512,0.165511,0.140712,0.211634
q_ind_122_pop_0,0.176515,0.175414,0.144002,0.216262
q_ind_123_pop_0,0.241443,0.239491,0.203886,0.290260
q_ind_124_pop_0,0.078745,0.091400,0.000000,0.126327
q_ind_125_pop_0,0.119797,0.123680,0.060369,0.164176
q_ind_126_pop_0,0.105536,0.118856,0.000011,0.148072
q_ind_127_pop_0,0.112428,0.120115,0.046290,0.150186
q_ind_128_pop_0,0.076853,0.089118,0.000011,0.118734
q_ind_129_pop_0,0.087418,0.092959,0.031880,0.121219
q_ind_130_pop_0,0.141588,0.156604,0.000154,0.183735
q_ind_131_pop_0,0.142425,0.163417,0.000009,0.190622
q_ind_132_pop_0,0.105136,0.114526,0.004042,0.151006
q_ind_133_pop_0,0.103467,0.120563,0.000001,0.146870
q_ind_134_pop_0,0.094145,0.106204,0.001448,0.135703
q_ind_135_pop_0,0.112499,0.127513,0.000038,0.155497
q_ind_136_pop_0,0.103037,0.116461,0.002171,0.151431
q_ind_137_pop_0,0.132773,0.153853,0.000051,0.182704
q_ind_138_pop_0,0.136451,0.154074,0.018107,0.181671
q_ind_139_pop_0,0.122280,0.132478,0.047329,0.159841
q_ind_140_pop_0,0.108339,0.116863,0.027383,0.152250
q_ind_141_pop_0,0.205003,0.219162,0.095829,0.244928
q_ind_142_pop_0,0.091930,0.104600,0.000154,0.132019
q_ind_143_pop_0,0.091979,0.106012,0.000004,0.133576
q_ind_144_pop_0,0.004416,0.000669,0.000000,0.023173
q_ind_145_pop_0,0.001807,0.000121,0.000000,0.013921
q_ind_146_pop_0,0.001118,0.000111,0.000000,0.007455
q_ind_147_pop_0,0.016563,0.018227,0.000000,0.034407
q_ind_148_pop_0,0.051253,0.050927,0.028278,0.075880
q_ind_149_pop_0,0.000773,0.000056,0.000000,0.006459
q_ind_150_pop_0,0.002365,0.000270,0.000000,0.014931
q_ind_151_pop_0,0.000758,0.000049,0.000000,0.005756
q_ind_152_pop_0,0.003257,0.000763,0.000000,0.017331
q_ind_153_pop_0,0.001493,0.000136,0.000000,0.009523
q_ind_154_pop_0,0.097514,0.099618,0.058147,0.122778
q_ind_155_pop_0,0.013661,0.012950,0.000000,0.038033
q_ind_156_pop_0,0.003825,0.000306,0.000000,0.024192
q_ind_157_pop_0,0.015470,0.014512,0.000000,0.042423
q_ind_158_pop_0,0.006773,0.000741,0.000000,0.032722
q_ind_159_pop_0,0.003064,0.000416,0.000000,0.017693
q_ind_160_pop_0,0.000690,0.000040,0.000000,0.005846
q_ind_161_pop_0,0.004111,0.001187,0.000000,0.020023
q_ind_162_pop_0,0.000914,0.000071,0.000000,0.006879
q_ind_163_pop_0,0.005715,0.001196,0.000000,0.027572
q_ind_164_pop_0,0.059062,0.067906,0.000001,0.095766
q_ind_165_pop_0,0.071848,0.081600,0.000009,0.113405
q_ind_166_pop_0,0.052048,0.060940,0.000000,0.090606
q_ind_167_pop_0,0.158791,0.170649,0.073829,0.198399
q_ind_168_pop_0,0.111504,0.125585,0.015883,0.152708
q_ind_169_pop_0,0.105093,0.111967,0.001276,0.145773
q_ind_170_pop_0,0.095032,0.110729,0.000003,0.143017
q_ind_171_pop_0,0.111493,0.124997,0.018265,0.152669
q_ind_172_pop_0,0.168152,0.180676,0.079885,0.208928
