param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_1_anc_1-1,0.000502,0.000003,0.000000,0.004580
Q_ind_2_anc_1-1,0.000444,0.000002,0.000000,0.004437
Q_ind_3_anc_1-1,0.001095,0.000007,0.000000,0.011012
Q_ind_4_anc_1-1,0.000865,0.000006,0.000000,0.008353
Q_ind_5_anc_1-1,0.000310,0.000002,0.000000,0.003102
Q_ind_6_anc_1-1,0.000592,0.000003,0.000000,0.005727
Q_ind_7_anc_1-1,0.000747,0.000003,0.000000,0.007014
Q_ind_8_anc_1-1,0.001257,0.000008,0.000000,0.010981
Q_ind_9_anc_1-1,0.000671,0.000004,0.000000,0.006581
Q_ind_10_anc_1-1,0.000441,0.000002,0.000000,0.004444
Q_ind_11_anc_1-1,0.002290,0.000027,0.000000,0.018100
Q_ind_12_anc_1-1,0.000894,0.000006,0.000000,0.008273
Q_ind_13_anc_1-1,0.107179,0.106998,0.016926,0.189982
Q_ind_14_anc_1-1,0.069798,0.070597,0.000000,0.168540
Q_ind_15_anc_1-1,0.152134,0.157005,0.000001,0.275244
Q_ind_16_anc_1-1,0.087763,0.088881,0.000000,0.204097
Q_ind_17_anc_1-1,0.072735,0.077656,0.000000,0.166508
Q_ind_18_anc_1-1,0.195224,0.194960,0.105199,0.295116
Q_ind_19_anc_1-1,0.098893,0.102671,0.000013,0.179493
Q_ind_20_anc_1-1,0.001086,0.000004,0.000000,0.010846
Q_ind_21_anc_1-1,0.003976,0.000058,0.000000,0.030860
Q_ind_22_anc_1-1,0.005157,0.000161,0.000000,0.034164
Q_ind_23_anc_1-1,0.000733,0.000004,0.000000,0.006727
Q_ind_24_anc_1-1,0.001652,0.000011,0.000000,0.017787
Q_ind_25_anc_1-1,0.001372,0.000008,0.000000,0.012779
Q_ind_26_anc_1-1,0.000920,0.000006,0.000000,0.008564
Q_ind_27_anc_1-1,0.001229,0.000009,0.000000,0.011898
Q_ind_28_anc_1-1,0.001276,0.000008,0.000000,0.012724
Q_ind_29_anc_1-1,0.002103,0.000017,0.000000,0.019518
Q_ind_30_anc_1-1,0.003564,0.000084,0.000000,0.024937
Q_ind_31_anc_1-1,0.000722,0.000003,0.000000,0.006984
Q_ind_32_anc_1-1,0.018132,0.000443,0.000000,0.114584
Q_ind_33_anc_1-1,0.001593,0.000009,0.000000,0.017596
Q_ind_34_anc_1-1,0.001647,0.000008,0.000000,0.016350
Q_ind_35_anc_1-1,0.001004,0.000005,0.000000,0.009870
Q_ind_36_anc_1-1,0.000939,0.000006,0.000000,0.009269
Q_ind_37_anc_1-1,0.001242,0.000005,0.000000,0.013318
Q_ind_38_anc_1-1,0.000934,0.000005,0.000000,0.009259
Q_ind_39_anc_1-1,0.000675,0.000003,0.000000,0.006676
Q_ind_40_anc_1-1,0.016003,0.000324,0.000000,0.101571
Q_ind_41_anc_1-1,0.000772,0.000003,0.000000,0.007964
Q_ind_42_anc_1-1,0.813747,0.820754,0.704066,0.888866
Q_ind_43_anc_1-1,0.852509,0.853682,0.797672,0.898783
Q_ind_44_anc_1-1,0.877803,0.878821,0.826855,0.923554
Q_ind_45_anc_1-1,0.901430,0.903044,0.853751,0.942567
Q_ind_46_anc_1-1,0.845974,0.853120,0.743048,0.917418
Q_ind_47_anc_1-1,0.881822,0.882427,0.834550,0.923175
Q_ind_48_anc_1-1,0.856790,0.864612,0.752446,0.930257
Q_ind_49_anc_1-1,0.594685,0.595798,0.511195,0.671827
Q_ind_50_anc_1-1,0.580582,0.581724,0.497852,0.658399
Q_ind_51_anc_1-1,0.648705,0.649286,0.569824,0.727346
Q_ind_52_anc_1-1,0.618801,0.619738,0.535665,0.694546
Q_ind_53_anc_1-1,0.689761,0.690867,0.615254,0.761766
Q_ind_54_anc_1-1,0.623363,0.623677,0.545295,0.701142
Q_ind_55_anc_1-1,0.005622,0.000048,0.000000,0.052229
Q_ind_56_anc_1-1,0.692265,0.692622,0.619284,0.765045
Q_ind_57_anc_1-1,0.612228,0.612712,0.526396,0.696039
Q_ind_58_anc_1-1,0.587897,0.587565,0.506461,0.669464
Q_ind_59_anc_1-1,0.660618,0.660581,0.577876,0.739014
Q_ind_60_anc_1-1,0.674689,0.673657,0.587713,0.762682
Q_ind_61_anc_1-1,0.425014,0.425245,0.315857,0.544634
Q_ind_62_anc_1-1,0.007522,0.000071,0.000000,0.067451
Q_ind_63_anc_1-1,0.006284,0.000147,0.000000,0.045140
Q_ind_64_anc_1-1,0.499803,0.508957,0.362317,0.601217
Q_ind_65_anc_1-1,0.498100,0.507160,0.391400,0.576179
Q_ind_66_anc_1-1,0.455434,0.452025,0.331133,0.587882
Q_ind_67_anc_1-1,0.016760,0.000959,0.000000,0.092231
Q_ind_68_anc_1-1,0.002045,0.000011,0.000000,0.022883
Q_ind_69_anc_1-1,0.562426,0.569314,0.461609,0.622604
Q_ind_70_anc_1-1,0.000502,0.000003,0.000000,0.004967
Q_ind_71_anc_1-1,0.000474,0.000002,0.000000,0.004840
Q_ind_72_anc_1-1,0.000545,0.000003,0.000000,0.005286
Q_ind_73_anc_1-1,0.000540,0.000003,0.000000,0.005333
Q_ind_74_anc_1-1,0.001760,0.000010,0.000000,0.016062
Q_ind_75_anc_1-1,0.001692,0.000017,0.000000,0.014465
Q_ind_76_anc_1-1,0.001085,0.000007,0.000000,0.010248
Q_ind_77_anc_1-1,0.000576,0.000003,0.000000,0.005759
Q_ind_78_anc_1-1,0.000697,0.000004,0.000000,0.006602
Q_ind_79_anc_1-1,0.000833,0.000006,0.000000,0.008105
Q_ind_80_anc_1-1,0.002629,0.000059,0.000000,0.018754
Q_ind_81_anc_1-1,0.235510,0.236188,0.179090,0.290846
Q_ind_82_anc_1-1,0.246149,0.247282,0.191513,0.294156
Q_ind_83_anc_1-1,0.302672,0.304362,0.228029,0.361418
Q_ind_84_anc_1-1,0.262518,0.263931,0.204062,0.312516
Q_ind_85_anc_1-1,0.078928,0.052834,0.000000,0.264620
Q_ind_86_anc_1-1,0.249581,0.254621,0.164197,0.310472
Q_ind_87_anc_1-1,0.000920,0.000004,0.000000,0.008825
Q_ind_88_anc_1-1,0.235356,0.238662,0.147028,0.301602
Q_ind_89_anc_1-1,0.993282,0.996534,0.968496,0.999994
Q_ind_90_anc_1-1,0.994984,0.997477,0.976383,0.999995
Q_ind_91_anc_1-1,0.001066,0.000006,0.000000,0.010707
Q_ind_92_anc_1-1,0.000781,0.000005,0.000000,0.007922
Q_ind_93_anc_1-1,0.996990,0.998774,0.984157,0.999998
Q_ind_94_anc_1-1,0.997901,0.999058,0.989225,0.999998
Q_ind_95_anc_1-1,0.994307,0.996988,0.974495,0.999994
Q_ind_96_anc_1-1,0.998235,0.999176,0.991332,0.999998
Q_ind_97_anc_1-1,0.000863,0.000005,0.000000,0.008802
Q_ind_98_anc_1-1,0.924487,0.927291,0.864727,0.970578
Q_ind_99_anc_1-1,0.019563,0.000417,0.000000,0.145153
Q_ind_100_anc_1-1,0.026543,0.005849,0.000000,0.123343
Q_ind_101_anc_1-1,0.180766,0.191643,0.017988,0.262312
Q_ind_102_anc_1-1,0.008832,0.000115,0.000000,0.076944
Q_ind_103_anc_1-1,0.133526,0.127217,0.034577,0.250025
Q_ind_104_anc_1-1,0.001291,0.000005,0.000000,0.011784
Q_ind_105_anc_1-1,0.117372,0.128189,0.000000,0.203242
Q_ind_106_anc_1-1,0.085762,0.039046,0.000000,0.249456
Q_ind_107_anc_1-1,0.986547,0.990805,0.950149,0.999975
Q_ind_108_anc_1-1,0.990203,0.993675,0.961957,0.999986
Q_ind_109_anc_1-1,0.993995,0.996825,0.974013,0.999992
Q_ind_110_anc_1-1,0.975533,0.978898,0.926704,0.999929
Q_ind_111_anc_1-1,0.996161,0.998088,0.982153,0.999998
Q_ind_112_anc_1-1,0.990309,0.993389,0.965055,0.999982
Q_ind_113_anc_1-1,0.995526,0.997604,0.979767,0.999996
