param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000923,0.000270,0.000000,0.005328
q_ind_1_pop_0,0.001241,0.000349,0.000000,0.007589
q_ind_2_pop_0,0.001049,0.000317,0.000000,0.006021
q_ind_3_pop_0,0.000800,0.000219,0.000000,0.004781
q_ind_4_pop_0,0.008980,0.006347,0.000000,0.029753
q_ind_5_pop_0,0.001046,0.000310,0.000000,0.006152
q_ind_6_pop_0,0.000910,0.000236,0.000000,0.005807
q_ind_7_pop_0,0.001658,0.000549,0.000000,0.008995
q_ind_8_pop_0,0.001170,0.000365,0.000000,0.006410
q_ind_9_pop_0,0.000728,0.000188,0.000000,0.004500
q_ind_10_pop_0,0.004157,0.002094,0.000000,0.016982
q_ind_11_pop_0,0.001792,0.000511,0.000000,0.010588
q_ind_12_pop_0,0.361525,0.358668,0.327463,0.418484
q_ind_13_pop_0,0.355330,0.352752,0.318501,0.407164
q_ind_14_pop_0,0.364626,0.361381,0.327504,0.431272
q_ind_15_pop_0,0.343603,0.340777,0.310643,0.399248
q_ind_16_pop_0,0.333088,0.330283,0.298792,0.392217
q_ind_17_pop_0,0.381889,0.377590,0.343517,0.459846
q_ind_18_pop_0,0.329884,0.327461,0.298635,0.381420
q_ind_19_pop_0,0.318544,0.317322,0.290685,0.353767
q_ind_20_pop_0,0.007530,0.003695,0.000000,0.030567
q_ind_21_pop_0,0.004434,0.001545,0.000000,0.022746
q_ind_22_pop_0,0.001785,0.000605,0.000000,0.009253
q_ind_23_pop_0,0.009886,0.007004,0.000002,0.035064
q_ind_24_pop_0,0.022719,0.022855,0.000692,0.045288
q_ind_25_pop_0,0.001556,0.000482,0.000000,0.008917
q_ind_26_pop_0,0.001647,0.000534,0.000000,0.008904
q_ind_27_pop_0,0.001966,0.000617,0.000000,0.010772
q_ind_28_pop_0,0.006811,0.004682,0.000000,0.024909
q_ind_29_pop_0,0.001556,0.000451,0.000000,0.009411
q_ind_30_pop_0,0.039516,0.041545,0.002639,0.066588
q_ind_31_pop_0,0.060831,0.060617,0.029914,0.093029
q_ind_32_pop_0,0.038889,0.039099,0.007559,0.067471
q_ind_33_pop_0,0.015058,0.009078,0.000001,0.051760
q_ind_34_pop_0,0.057715,0.058005,0.029635,0.084252
q_ind_35_pop_0,0.036657,0.040075,0.000472,0.061657
q_ind_36_pop_0,0.042695,0.043544,0.010478,0.068695
q_ind_37_pop_0,0.043416,0.044964,0.002742,0.072165
q_ind_38_pop_0,0.082964,0.082204,0.053516,0.117714
q_ind_39_pop_0,0.020553,0.020127,0.000014,0.048266
q_ind_40_pop_0,0.030425,0.031441,0.000157,0.054201
q_ind_41_pop_0,0.256226,0.248953,0.209648,0.360380
q_ind_42_pop_0,0.245042,0.239076,0.193497,0.355249
