param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_1_anc_1-1,0.001170,0.000119,0.000000,0.008840
Q_ind_2_anc_1-1,0.001680,0.000192,0.000000,0.011774
Q_ind_3_anc_1-1,0.003024,0.000632,0.000000,0.016964
Q_ind_4_anc_1-1,0.001747,0.000189,0.000000,0.011929
Q_ind_5_anc_1-1,0.000487,0.000052,0.000000,0.003433
Q_ind_6_anc_1-1,0.001142,0.000113,0.000000,0.008959
Q_ind_7_anc_1-1,0.002227,0.000321,0.000000,0.014554
Q_ind_8_anc_1-1,0.004272,0.001252,0.000000,0.021321
Q_ind_9_anc_1-1,0.001115,0.000106,0.000000,0.008397
Q_ind_10_anc_1-1,0.001043,0.000105,0.000000,0.007540
Q_ind_11_anc_1-1,0.005708,0.001473,0.000000,0.027909
Q_ind_12_anc_1-1,0.001524,0.000155,0.000000,0.011260
Q_ind_13_anc_1-1,0.331650,0.331474,0.253568,0.411811
Q_ind_14_anc_1-1,0.297605,0.297787,0.211558,0.383356
Q_ind_15_anc_1-1,0.340032,0.339946,0.260946,0.421700
Q_ind_16_anc_1-1,0.281749,0.280916,0.205006,0.365178
Q_ind_17_anc_1-1,0.328678,0.329304,0.248291,0.407655
Q_ind_18_anc_1-1,0.361798,0.361464,0.281926,0.444941
Q_ind_19_anc_1-1,0.285330,0.284094,0.208652,0.363902
Q_ind_20_anc_1-1,0.041446,0.036050,0.000000,0.124494
Q_ind_21_anc_1-1,0.017727,0.005459,0.000000,0.084278
Q_ind_22_anc_1-1,0.033888,0.026055,0.000000,0.110942
Q_ind_23_anc_1-1,0.018074,0.004662,0.000000,0.089865
Q_ind_24_anc_1-1,0.004254,0.000349,0.000000,0.033291
Q_ind_25_anc_1-1,0.009722,0.001159,0.000000,0.061282
Q_ind_26_anc_1-1,0.037766,0.030203,0.000000,0.116362
Q_ind_27_anc_1-1,0.007406,0.001201,0.000000,0.052485
Q_ind_28_anc_1-1,0.013368,0.004191,0.000000,0.064101
Q_ind_29_anc_1-1,0.042446,0.034405,0.000000,0.138578
Q_ind_30_anc_1-1,0.047888,0.045288,0.000000,0.129867
Q_ind_31_anc_1-1,0.002572,0.000186,0.000000,0.021109
Q_ind_32_anc_1-1,0.011793,0.000779,0.000000,0.090169
Q_ind_33_anc_1-1,0.005810,0.000581,0.000000,0.043266
Q_ind_34_anc_1-1,0.008442,0.001178,0.000000,0.061457
Q_ind_35_anc_1-1,0.002897,0.000292,0.000000,0.020815
Q_ind_36_anc_1-1,0.003388,0.000444,0.000000,0.022853
Q_ind_37_anc_1-1,0.002717,0.000303,0.000000,0.019292
Q_ind_38_anc_1-1,0.002558,0.000262,0.000000,0.020496
Q_ind_39_anc_1-1,0.000730,0.000070,0.000000,0.005393
Q_ind_40_anc_1-1,0.011882,0.001946,0.000000,0.074758
Q_ind_41_anc_1-1,0.001605,0.000137,0.000000,0.013087
Q_ind_42_anc_1-1,0.873138,0.882002,0.781605,0.933626
Q_ind_43_anc_1-1,0.919545,0.921838,0.869461,0.956155
Q_ind_44_anc_1-1,0.918576,0.919443,0.876179,0.957059
