"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","q_6","lb_q_6","ub_q_6","q_7","lb_q_7","ub_q_7","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5","Q_6_1","lb_Q_6_1","ub_Q_6_1","Q_6_2","lb_Q_6_2","ub_Q_6_2","Q_6_3","lb_Q_6_3","ub_Q_6_3","Q_6_4","lb_Q_6_4","ub_Q_6_4","Q_6_5","lb_Q_6_5","ub_Q_6_5","Q_6_6","lb_Q_6_6","ub_Q_6_6","Q_7_1","lb_Q_7_1","ub_Q_7_1","Q_7_2","lb_Q_7_2","ub_Q_7_2","Q_7_3","lb_Q_7_3","ub_Q_7_3","Q_7_4","lb_Q_7_4","ub_Q_7_4","Q_7_5","lb_Q_7_5","ub_Q_7_5","Q_7_6","lb_Q_7_6","ub_Q_7_6","Q_7_7","lb_Q_7_7","ub_Q_7_7"
"PH_BC_4.sorted.bam","4","BC",0.501048,0.494661,0.521874,0.000645,0,0.004952,0.000449,0,0.003754,0.000437,0,0.003478,0.001305,0,0.013646,0.495553,0.473138,0.500004,0.000563,0,0.004653,0.004379,0,0.045852,0.000523,0,0.005579,7.4e-05,0,0.000795,0.000186,0,0.001457,0.000141,0,0.001835,8.7e-05,0,0.00091,0.000221,0,0.002504,8.2e-05,0,0.000848,7.2e-05,0,0.000664,7.8e-05,0,0.000721,0.001712,0,0.025842,0.000128,0,0.001607,0.000128,0,0.001486,0.000136,0,0.001561,0.000125,0,0.001503,0.990268,0.945461,0.999978,0.00013,0,0.001108,0.000124,0,0.001462,0.000128,0,0.001345,0.000168,0,0.001535,8.2e-05,0,0.000761,0.000429,0,0.004848,0.000137,0,0.001684,7.3e-05,0,0.000721,8.1e-05,0,0.000805,8.7e-05,0,0.000912,0.000123,0,0.00135,9.8e-05,0,0.001083
"PH_BC_5.sorted.bam","5","BC",0.497202,0.479774,0.520968,0.003535,0,0.020803,0.001796,0,0.012836,0.001553,0,0.012206,0.003508,0,0.020505,0.487944,0.458402,0.499992,0.004462,0,0.024033,0.006186,0,0.056749,0.001886,0,0.024982,0.000279,0,0.003771,0.000427,0,0.004803,0.000882,0,0.01129,0.000157,0,0.001856,0.000523,0,0.003378,0.000542,0,0.007059,0.000518,0,0.006347,0.000167,0,0.001712,0.002292,0,0.030941,0.00119,0,0.017514,0.000451,0,0.004759,0.000472,0,0.006263,0.000319,0,0.003642,0.973191,0.911061,0.999767,0.000527,0,0.005806,0.000346,0,0.003431,0.000277,0,0.003406,0.000578,0,0.006663,0.000211,0,0.002104,0.003713,0,0.040271,0.001485,0,0.019849,0.000653,0,0.00889,0.000441,0,0.006204,0.001396,0,0.018453,0.000545,0,0.007157,0.000346,0,0.00454
"PH_BC_6.sorted.bam","6","BC",0.499133,0.494062,0.503151,0.000528,0,0.004232,0.000375,0,0.002907,0.000409,0,0.003304,0.001692,0,0.018178,0.497358,0.479916,0.500116,0.000505,0,0.004065,0.00064,0,0.007719,0.000362,0,0.003393,5.1e-05,0,0.00048,0.000198,0,0.002122,5.9e-05,0,0.000618,5.4e-05,0,0.000639,0.000133,0,0.001475,0.000107,0,0.000963,7.4e-05,0,0.000815,8.3e-05,0,0.000958,0.002195,0,0.035369,0.000226,0,0.002548,0.000139,0,0.001412,0.000123,0,0.001394,0.000151,0,0.001429,0.993854,0.95913,0.999984,1e-04,0,0.000961,8.8e-05,0,0.001082,0.000121,0,0.001512,0.000198,0,0.002279,0.000131,0,0.001476,0.000243,0,0.002461,0.000101,0,0.001056,8.2e-05,0,0.000923,9.4e-05,0,0.000883,0.000203,0,0.002558,9.5e-05,0,0.000951,9.5e-05,0,0.001115
"PH_BC_7.sorted.bam","7","BC",0.344166,0.303284,0.393764,0.07585,0.048546,0.11121,0.068525,0.042121,0.095873,0.12993,0.069299,0.181963,0.004344,0,0.025833,0.283207,0.229361,0.332093,0.093978,0.060866,0.13105,0.000134,0,0.001307,0.005254,0,0.069809,0.000108,0,0.00103,0.000772,0,0.00904,0.134048,0.082229,0.187238,4.7e-05,0,0.000495,0.244546,0,0.357312,0.0036,0,0.055065,0.000876,0,0.01218,0.000421,0,0.004822,0.002243,0,0.029747,0.002095,0,0.030325,0.000156,0,0.002024,0.000937,0,0.012635,4.2e-05,0,0.00042,0.409954,0.2988,0.615603,0.005595,0,0.073673,0.000252,0,0.002149,0.000538,0,0.00732,0.000386,0,0.00486,0.00013,0,0.001433,0.025294,0,0.162145,0.000891,0,0.012336,0.000852,0,0.011438,0.008522,0,0.171971,0.002787,0,0.032856,0.149429,0.000177,0.232143,9e-05,0,0.000985
"PH_BC_8.sorted.bam","8","BC",0.457776,0.416487,0.496238,0.029474,0,0.069986,0.016934,0,0.050108,0.016097,0,0.055084,0.017472,0,0.050766,0.453915,0.405448,0.493626,0.008332,0,0.036131,0.000487,0,0.005738,0.011544,0,0.115742,0.00129,0,0.01973,0.004274,0,0.052172,0.00848,0,0.067407,0.00034,0,0.004248,0.001872,0,0.021081,0.015269,0,0.092697,0.00381,0,0.049552,0.000545,0,0.008114,0.010986,0,0.087534,0.012178,0,0.07776,0.00439,0,0.050926,0.001839,0,0.026904,0.000563,0,0.006337,0.884951,0.773946,0.971515,0.004626,0,0.05771,0.007662,0,0.067879,0.006593,0,0.063859,0.001539,0,0.019735,0.000551,0,0.006053,0.00095,0,0.013664,0.00427,0,0.05221,0.004572,0,0.047285,0.001724,0,0.026095,0.002887,0,0.039881,0.001357,0,0.019264,0.000452,0,0.005331
"PH_BC_9.sorted.bam","9","BC",0.430822,0.398001,0.466365,0.002583,0,0.020926,0.06286,0.030753,0.09298,0.086895,0.044555,0.148944,0.004809,0,0.027026,0.408792,0.344064,0.446673,0.003239,0,0.019723,0.00016,0,0.002043,0.000375,0,0.004922,0.000131,0,0.001292,0.000851,0,0.010154,0.002018,0,0.027839,0.000203,0,0.002587,0.057405,0,0.228902,0.000527,0,0.006014,0.10951,0,0.181334,0.000974,0,0.011258,0.00131,0,0.017386,0.000941,0,0.013275,0.001102,0,0.014739,0.00169,0,0.023588,0.000144,0,0.001526,0.800461,0.633355,0.8896,0.000511,0,0.004698,0.01076,0,0.108413,0.001602,0,0.021211,0.002733,0,0.035373,0.000234,0,0.00265,0.000922,0,0.01278,0.000533,0,0.007975,0.001074,0,0.014714,0.001108,0,0.014985,0.001555,0,0.021443,0.001048,0,0.0143,0.000119,0,0.001123
"PH_CA_10.sorted.bam","10","CA",0.001455,0,0.012225,0.681947,0.63242,0.730771,0.001413,0,0.011017,0.001249,0,0.010171,0.000712,0,0.005716,0.000917,0,0.007522,0.312308,0.264705,0.360475,0.000189,0,0.002319,0.000757,0,0.009814,0.537743,0.435078,0.689728,0.000616,0,0.00789,0.00043,0,0.005159,0.000322,0,0.004279,0.000305,0,0.003121,0.000494,0,0.005742,0.000411,0,0.005279,0.000205,0,0.002259,0.000204,0,0.002252,0.000167,0,0.001827,0.000215,0,0.002108,0.000158,0,0.00202,0.000133,0,0.001465,0.000315,0,0.003748,0.000147,0,0.001094,0.000233,0,0.002426,0.000277,0,0.003062,0.00017,0,0.001998,0.000271,0,0.003787,0.000335,0,0.002718,0.286414,0,0.454864,0.000277,0,0.002657,0.000444,0,0.005102,0.000243,0,0.002524,0.000152,0,0.001792,0.168376,0.076027,0.321762
"PH_CA_12.sorted.bam","12","CA",0.004288,0,0.025318,0.667671,0.618524,0.713888,0.001943,0,0.014006,0.001295,0,0.010223,0.00191,0,0.013261,0.002276,0,0.017651,0.320616,0.273819,0.367102,0.00136,0,0.016729,0.000694,0,0.007355,0.494087,0.400453,0.588705,0.000713,0,0.010235,0.000187,0,0.001821,0.000434,0,0.006629,0.000591,0,0.00691,0.000371,0,0.004828,0.000319,0,0.003587,0.000132,0,0.001522,0.000546,0,0.007666,0.000688,0,0.009068,0.000592,0,0.006835,0.000248,0,0.003246,0.000317,0,0.003619,0.001229,0,0.016933,0.000864,0,0.010484,0.000525,0,0.006151,0.000371,0,0.004715,0.000231,0,0.00273,0.000239,0,0.002768,0.002083,0,0.026567,0.344365,0.180685,0.484714,0.000681,0,0.009284,0.000426,0,0.005357,0.000881,0,0.012918,0.000854,0,0.008714,0.145971,0.068253,0.232865
"PH_CA_1.sorted.bam","1","CA",0.001575,0,0.012319,0.673817,0.624516,0.723902,0.002048,0,0.014518,0.001522,0,0.01205,0.000718,0,0.005852,0.001626,0,0.012362,0.318694,0.267838,0.369068,0.000341,0,0.00401,0.000647,0,0.008049,0.497798,0.374477,0.60493,0.000425,0,0.005185,0.000551,0,0.007815,0.000439,0,0.005524,0.000353,0,0.005107,0.000398,0,0.003523,0.000348,0,0.003945,0.000402,0,0.004769,0.00019,0,0.002269,0.000246,0,0.003294,0.000157,0,0.001589,0.00015,0,0.001551,0.000112,0,0.001171,0.000545,0,0.005465,0.000459,0,0.005635,0.000321,0,0.004294,0.000238,0,0.002901,0.000211,0,0.002393,0.00019,0,0.002088,0.000307,0,0.004295,0.349738,0.153871,0.603938,0.001415,0,0.020393,0.000754,0,0.010846,0.000257,0,0.002908,0.001096,0,0.013223,0.141911,0,0.25415
"PH_CA_2.sorted.bam","2","CA",0.001728,0,0.013265,0.653522,0.600431,0.705707,0.001656,0,0.012916,0.001336,0,0.01146,0.000907,0,0.007722,0.001637,0,0.013268,0.339215,0.288295,0.390105,0.000539,0,0.007078,0.000578,0,0.00653,0.54571,0.420565,0.683261,0.000381,0,0.004678,0.000607,0,0.006438,0.000658,0,0.008875,0.000295,0,0.003421,0.000663,0,0.009045,0.00019,0,0.00221,0.000369,0,0.003812,0.000271,0,0.002637,0.000304,0,0.002531,0.000163,0,0.001899,0.000159,0,0.001279,0.000181,0,0.002222,0.000518,0,0.005728,0.000498,0,0.005687,0.000204,0,0.002637,0.000258,0,0.002717,0.000338,0,0.003447,0.000527,0,0.006149,0.000334,0,0.002872,0.212973,0,0.439873,0.00045,0,0.006115,0.000368,0,0.004204,0.000217,0,0.002405,0.000405,0,0.00363,0.231841,0.105801,0.36648
