"V1","individual_id","population","q_1","lb_q_1","ub_q_1","q_2","lb_q_2","ub_q_2","q_3","lb_q_3","ub_q_3","q_4","lb_q_4","ub_q_4","q_5","lb_q_5","ub_q_5","Q_1_1","lb_Q_1_1","ub_Q_1_1","Q_2_1","lb_Q_2_1","ub_Q_2_1","Q_2_2","lb_Q_2_2","ub_Q_2_2","Q_3_1","lb_Q_3_1","ub_Q_3_1","Q_3_2","lb_Q_3_2","ub_Q_3_2","Q_3_3","lb_Q_3_3","ub_Q_3_3","Q_4_1","lb_Q_4_1","ub_Q_4_1","Q_4_2","lb_Q_4_2","ub_Q_4_2","Q_4_3","lb_Q_4_3","ub_Q_4_3","Q_4_4","lb_Q_4_4","ub_Q_4_4","Q_5_1","lb_Q_5_1","ub_Q_5_1","Q_5_2","lb_Q_5_2","ub_Q_5_2","Q_5_3","lb_Q_5_3","ub_Q_5_3","Q_5_4","lb_Q_5_4","ub_Q_5_4","Q_5_5","lb_Q_5_5","ub_Q_5_5"
"PH_FC_4.sorted.bam","4","FC",0.003203,0,0.018418,0.775599,0.725738,0.82694,0.176766,0.117444,0.229772,0.030245,0.002404,0.065189,0.014188,0,0.058457,0.000414,0,0.005275,0.001798,0,0.020524,0.588983,0.484757,0.691304,0.001072,0,0.013081,0.342867,0.217357,0.452741,0.001334,0,0.015417,0.001962,0,0.023768,0.015735,0,0.100684,0.003203,0,0.041169,0.017581,0,0.055662,0.000744,0,0.009278,0.012832,0,0.110998,0.003723,0,0.041094,0.004426,0,0.042408,0.003326,0,0.031192
"PH_FC_6.sorted.bam","6","FC",0.053208,0.024269,0.086254,0.590783,0.543149,0.638569,0.248833,0.18796,0.310997,0.045098,0.001651,0.088983,0.062078,0.01547,0.107923,0.000236,0,0.002724,0.081515,0,0.165435,0.212305,0.111319,0.317355,0.000923,0,0.010916,0.491695,0.366523,0.617085,0.001294,0,0.016189,0.022467,0,0.098622,0.063375,0,0.17164,0.001937,0,0.027478,0.000369,0,0.004186,0.001038,0,0.011891,0.120371,0.027498,0.212313,0.000523,0,0.006061,0.001679,0,0.020321,0.000273,0,0.002822
"PH_FC_8.sorted.bam","8","FC",0.067214,0.034918,0.101828,0.497943,0.485424,0.50833,0.248847,0.190542,0.304213,0.093901,0.057455,0.131485,0.092096,0.048698,0.138326,0.000127,0,0.001437,0.132479,0.06652,0.201884,0.001941,0,0.024955,0.000633,0,0.007964,0.494191,0.375889,0.605794,0.000528,0,0.007049,0.000615,0,0.007116,0.184858,0.110634,0.260807,0.000697,0,0.008389,0.000283,0,0.003014,0.000447,0,0.005413,0.180476,0.090469,0.27158,0.001118,0,0.016661,0.001067,0,0.014402,0.000542,0,0.006191
"PH_FC_9.sorted.bam","9","FC",0.003366,0,0.018998,0.80487,0.753218,0.853773,0.172179,0.120478,0.220957,0.017017,0,0.055618,0.002568,0,0.017154,0.000267,0,0.003184,0.002403,0,0.026767,0.653287,0.554679,0.754708,0.00173,0,0.020173,0.285101,0.084618,0.421485,0.027106,0,0.128101,0.000985,0,0.011582,0.014623,0,0.091385,0.002611,0,0.030315,0.007426,0,0.044585,0.00108,0,0.012968,0.001041,0,0.011384,0.000704,0,0.007386,0.000965,0,0.012112,0.000674,0,0.006961
"PH_FV_10.sorted.bam","10","FV",0.11706,0.084026,0.151592,0.002531,0,0.017649,0.806792,0.752835,0.857593,0.00083,0,0.005912,0.072787,0.026618,0.122452,0.000674,0,0.00689,0.000686,0,0.008284,0.000362,0,0.004105,0.226334,0.14944,0.297581,0.001485,0,0.017211,0.684343,0.588952,0.762241,0.000378,0,0.004214,0.000242,0,0.002957,0.000305,0,0.003611,0.000139,0,0.001622,0.005374,0,0.071486,0.001924,0,0.023449,0.016773,0,0.150992,0.000456,0,0.005643,0.060524,0,0.116129
"PH_FV_11.sorted.bam","11","FV",0.14989,0.113667,0.185795,0.001362,0,0.009628,0.804394,0.749305,0.856061,0.001108,0,0.009014,0.043246,4e-06,0.097405,0.002317,0,0.025494,0.000815,0,0.009582,0.000302,0,0.003657,0.290782,0.211068,0.36719,0.000517,0,0.005928,0.651622,0.562642,0.733108,0.000422,0,0.004332,0.000248,0,0.002674,0.000407,0,0.00455,0.000218,0,0.002692,0.003126,0,0.045096,0.000541,0,0.006538,0.013838,0,0.124687,0.000705,0,0.009148,0.034141,0,0.095012
"PH_FV_12.sorted.bam","12","FV",0.110925,0.077365,0.145239,0.002001,0,0.01298,0.802667,0.750959,0.85229,0.003281,0,0.01951,0.081126,0.037297,0.129554,0.00026,0,0.003123,0.000685,0,0.008192,0.000351,0,0.003763,0.219237,0.149594,0.288955,0.001011,0,0.011307,0.617215,0.51257,0.724286,0.000824,0,0.009266,0.000858,0,0.009797,0.002292,0,0.028322,0.000328,0,0.003838,0.000584,0,0.006717,0.000746,0,0.008897,0.148364,0.000503,0.255418,0.001933,0,0.023854,0.005313,0,0.052275
"PH_FV_1.sorted.bam","1","FV",0.096501,0.065168,0.127688,0.001437,0,0.009657,0.785658,0.735804,0.83245,0.001671,0,0.010915,0.114733,0.067167,0.160827,0.000984,0,0.011324,0.000479,0,0.006038,0.000203,0,0.002286,0.188148,0.121426,0.253464,0.000702,0,0.007831,0.579024,0.479757,0.675846,0.000453,0,0.005014,0.000374,0,0.004603,0.000582,0,0.007865,0.00041,0,0.005231,0.001954,0,0.026042,0.00091,0,0.010457,0.223835,0.11972,0.317251,0.001114,0,0.012258,0.000826,0,0.008969
"PH_FV_2.sorted.bam","2","FV",0.147459,0.112904,0.180433,0.00267,0,0.016025,0.76891,0.716023,0.820539,0.004732,0,0.023698,0.07623,0.028078,0.121176,0.000269,0,0.003044,0.000688,0,0.007661,0.000399,0,0.004607,0.289183,0.219532,0.357543,0.001169,0,0.014309,0.549439,0.449334,0.65118,0.003021,0,0.034728,0.001313,0,0.015567,0.002454,0,0.026499,0.000401,0,0.00467,0.001489,0,0.017552,0.001372,0,0.015641,0.146136,0.042639,0.237435,0.001874,0,0.024454,0.000794,0,0.009205
"PH_FV_4.sorted.bam","4","FV",0.140912,0.107131,0.175752,0.001494,0,0.010246,0.793445,0.736266,0.851913,0.003054,0,0.017576,0.061094,0.000606,0.115601,0.002558,0,0.027859,0.000569,0,0.00727,0.000495,0,0.006146,0.233896,0.08888,0.339783,0.000418,0,0.005113,0.656025,0.526419,0.758225,0.001026,0,0.013378,0.000512,0,0.005647,0.00096,0,0.011468,0.000848,0,0.010599,0.041217,0,0.169996,0.000501,0,0.006122,0.039567,0,0.188735,0.001915,0,0.0215,0.019494,0,0.106533
